family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,3,1,,,,,,False,
B (photometric variability),B1 dAmp_G,num,47,27,0.0094908677804195,0.6824271079590228,0.5429472025216706,0.8124507486209613,0.7000000000000002,True,0.037963471121678
B (photometric variability),B2 dAmp_BP,num,47,27,0.9910409217190149,0.5011820330969267,0.3546099290780142,0.6477738376674544,0.7000000000000002,True,1.0
B (photometric variability),B3 dAmp_RP,num,47,27,0.05484266806951999,0.6351457840819543,0.49566587864460204,0.7675334909377463,0.7000000000000002,True,0.16452800420855998
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,47,27,1.0,0.86,,,0.4,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,4,2,,,,,,False,
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,47,27,0.0006681660871190738,0.26083530338849487,0.14026792750197006,0.3947990543735225,0.7000000000000002,True,0.0033408304355953687
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,47,27,0.9736909997962131,0.5019700551615445,0.4109338061465721,0.5996847911741529,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,47,27,1.0,0.4996059889676911,0.3538219070133964,0.644602048857368,0.7000000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,47,27,0.0032616399885013903,0.29314420803782504,0.16782899921197794,0.42868400315208827,0.7000000000000002,True,0.013046559954005561
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,47,27,8.104113251896048e-05,0.22301024428684002,0.11899133175728921,0.34278959810874704,0.7000000000000002,True,0.0004862467951137629
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,47,27,0.6054887117198064,0.5366430260047281,0.39952718676122934,0.6722025216706065,0.7000000000000002,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,47,27,0.25906283949615816,0.42040977147360126,0.2860520094562648,0.5606875492513789,0.7000000000000002,True,0.25906283949615816
