astrometric_params,has_parallax,has_pseudocolour,orbital,vim_or_resolved,l21_guard,raw_accepted_by_zpt
3,False,False,False,False,0,False
7,True,False,False,False,31,False
27,False,False,False,False,0,False
31,True,False,False,False,31,True
63,True,False,False,False,31,False
95,True,True,False,False,95,True
479,True,True,False,False,95,False
2015,True,True,False,False,95,False
2079,True,False,True,False,31,False
2463,True,False,True,False,31,False
3999,True,False,True,False,31,False
4127,True,False,False,True,31,False
4575,True,True,False,True,95,False
6111,True,True,False,True,95,False
6175,True,False,True,True,31,False
8223,True,False,False,True,31,False
8607,True,False,False,True,31,False
10143,True,False,False,True,31,False
10271,True,False,True,True,31,False
