family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,10,30,0.7785935610484558,0.5316666666666666,0.3333333333333333,0.720041666666666,0.8000000000000003,True,0.7785935610484558
B (photometric variability),B1 dAmp_G,num,261,691,0.016644498722026932,0.5502492362116096,0.5109158668374447,0.5909949210151315,0.5750000000000001,True,0.08322249361013466
B (photometric variability),B2 dAmp_BP,num,261,691,0.06849358718044483,0.538231005095619,0.49815755110867144,0.5783447277808275,0.5750000000000001,True,0.27397434872177934
B (photometric variability),B3 dAmp_RP,num,261,691,0.18808328569185362,0.5276239111510332,0.4859048466601239,0.5691096805673381,0.5750000000000001,True,0.5642498570755609
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,261,691,0.5807468977579952,1.2167328469849479,,,0.15000000000000002,True,0.7149957868815564
B (photometric variability),B5 std_dev_mag_g_fov,num,17,56,0.3574978934407782,0.5745798319327731,0.4217436974789916,0.7211134453781513,0.7250000000000002,True,0.7149957868815564
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,261,691,0.2536148412421284,0.5239588358256955,0.48346093173866517,0.5644799585253201,0.5750000000000001,True,0.8947181852597286
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,261,691,0.7845345858005763,0.5033517973285426,0.4794231110445742,0.5267481882551247,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,261,691,0.7762715033458317,0.4940338562026271,0.45351210971938055,0.5356923443729172,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,261,691,0.17894363705194571,0.5282061091981747,0.48701407255851087,0.5695956773181186,0.5750000000000001,True,0.8947181852597286
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,261,691,0.20145108128489597,0.5268088338850353,0.48575520790015025,0.5669672610631491,0.5750000000000001,True,0.8947181852597286
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,261,691,0.004219964209418469,0.5600440252618505,0.5196696303319638,0.5997725269058669,0.5750000000000001,True,0.025319785256510817
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,261,691,0.47353862104839417,0.5150428885894728,0.4743401062372818,0.5561231293422271,0.5750000000000001,True,0.47353862104839417
