family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,7,29,0.9067038985682249,0.4827586206896552,0.26108374384236455,0.7044334975369458,0.8250000000000003,True,0.9067038985682249
B (photometric variability),B1 dAmp_G,num,219,668,0.19415341999739244,0.5292052880540289,0.48630384778388425,0.572854376862713,0.5750000000000001,True,0.9707670999869622
B (photometric variability),B2 dAmp_BP,num,219,668,0.684593664366845,0.5091392557351051,0.4658759535723075,0.5530727927706232,0.5750000000000001,True,1.0
B (photometric variability),B3 dAmp_RP,num,219,668,0.3928281079151792,0.5192218303119788,0.47363458015475896,0.5643410952068465,0.5750000000000001,True,1.0
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,219,668,0.5553880809224977,1.2360853432282004,,,0.15000000000000002,True,1.0
B (photometric variability),B5 std_dev_mag_g_fov,num,14,54,0.3059366246274873,0.58994708994709,0.41927910052910056,0.753968253968254,0.7500000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,219,668,0.008667616371810403,0.5590394553359035,0.5150919052306345,0.6017012208459793,0.5750000000000001,True,0.03467046548724161
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,219,668,0.7485778526003,0.5041868318158205,0.479027988543461,0.5291931547863178,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,219,668,0.6588810187472063,0.5099321904136932,0.4644546523391573,0.5545768052935225,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,219,668,0.00642644718458016,0.5612952177836109,0.5179842370054413,0.6042991072649222,0.5750000000000001,True,0.0321322359229008
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,219,668,0.004898499612417803,0.5632843901238619,0.5202743485631477,0.6066087004074043,0.5750000000000001,True,0.029390997674506817
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,219,668,0.5474205714385305,0.513534574686244,0.4704554931233424,0.555706566319416,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,219,668,0.49071860916761256,0.5155032400951521,0.47067457550652125,0.5599903788313783,0.5750000000000001,True,0.49071860916761256
