kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source,source_id,n_transits_used,verdict
batch,m6_cache_20260824T181908,0,20.0,1.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,0,,,,77,2.669,,4.3734653524153016e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,73,0.018,,5.870569352746779e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,75,0.021,,3.5093703267630167e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,81,0.023,,5.296919570584886e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,81,0.017,,5.542831389148065e+18,649.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,74,0.022,,2.0201246434870246e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,77,0.02,,5.238699738399934e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,77,0.022,,3.2638043733190764e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,88,0.023,,3.315062231016941e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,88,0.023,,5.616598899870233e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,90,0.023,,2.1921056824528655e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,90,0.023,,2.055530017407207e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,4,0.019,,5.835380273400728e+18,36.0,INCONCLUSIVE
source,m6_cache_20260824T181908,0,,,,95,0.024,,5.519315932102588e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,77,0.022,,5.416364152972857e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,0,,,,81,0.022,,6.328149636482598e+18,462.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,97,0.023,,1.9807458707439788e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,97,0.023,,2.373789361772392e+18,637.0,SPURIOUS
source,m6_cache_20260824T181908,0,,,,81,0.022,,5.544150395092057e+18,462.0,SPURIOUS
batch,m6_cache_20260824T181908,1,20.0,0.0,0.0,0,0.0,0.0,,,
source,m6_cache_20260824T181908,1,,,,62,0.021,,5.290789243502186e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,75,0.018,,2.2221680139750257e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,88,0.048,,1.979624957311893e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,75,0.022,,2.1768424681904637e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,90,0.022,,2.5437881530770176e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,1,,,,75,0.023,,1.811600167323838e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,95,0.017,,4.161042729638132e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,90,0.018,,5.053152894897516e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,1,,,,88,0.017,,5.868375071124508e+18,702.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,62,0.016,,5.64586789940114e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,73,0.017,,4.627361760001541e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,62,0.018,,5.065286383666888e+18,515.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,75,0.022,,6.001459821083926e+18,597.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,90,0.021,,1.968969040364365e+18,558.0,CONFIRMED
source,m6_cache_20260824T181908,1,,,,90,0.024,,5.693231050700031e+17,558.0,CONFIRMED
source,m6_cache_20260824T181908,1,,,,74,0.021,,1.9980191340023204e+18,576.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,73,0.019,,5.545162186300848e+18,608.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,95,0.021,,5.984963087901125e+18,781.0,SPURIOUS
source,m6_cache_20260824T181908,1,,,,90,0.025,,4.2012193955704433e+18,558.0,CONFIRMED
