family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,10,27,0.7975454802898235,0.5296296296296297,0.3333333333333333,0.7222222222222222,0.8000000000000003,True,0.7975454802898235
B (photometric variability),B1 dAmp_G,num,263,690,0.12946464284004328,0.5317380283242409,0.49152187689425253,0.5719128506089161,0.5750000000000001,True,0.3883939285201298
B (photometric variability),B2 dAmp_BP,num,263,690,0.020298020931634166,0.5485782774012233,0.5076898385408056,0.5899103157546701,0.5750000000000001,True,0.10149010465817082
B (photometric variability),B3 dAmp_RP,num,263,690,0.0349684965703837,0.5441395271945776,0.5046036534964456,0.5832094836612112,0.5750000000000001,True,0.1398739862815348
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,263,690,0.1309562429325803,1.6322332730560578,,,0.15000000000000002,True,0.3883939285201298
B (photometric variability),B5 std_dev_mag_g_fov,num,14,60,0.7772296773146856,0.475,0.32142857142857145,0.6261904761904762,0.7500000000000002,True,0.7772296773146856
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,263,690,0.29775335686339055,0.4782030087617788,0.4373669890340001,0.5182383451810216,0.5750000000000001,True,0.9595441830872953
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,263,690,0.1384028795954676,0.517782553590125,0.4945904281699455,0.5387037113572491,0.5750000000000001,True,0.8304172775728056
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,263,690,0.49831062732122167,0.4858241031575467,0.4457965503940045,0.5260054003416543,0.5750000000000001,True,0.9595441830872953
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,263,690,0.39408649021429853,0.48215958560643635,0.441174229900259,0.5238115115446079,0.5750000000000001,True,0.9595441830872953
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,263,690,0.23988604577182382,0.47539813743318454,0.43480416873312394,0.5170222350801785,0.5750000000000001,True,0.9595441830872953
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,263,690,0.14020895754155063,0.5308756268253706,0.48949392461563895,0.5746707444756709,0.5750000000000001,True,0.8304172775728056
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,263,690,0.5056856967461608,0.513933432523282,0.47372258500027553,0.5547590510828236,0.5750000000000001,True,0.5056856967461608
