family,metric,kind,n_conf,n_spur,p,effect,eff_lo,eff_hi,min_detectable,testable,p_holm
"A (chromospheric activity, ESP-CS)",A1 activityindex_espcs,num,7,26,0.8802789669029935,0.47802197802197804,0.25274725274725274,0.7087912087912088,0.8250000000000003,True,0.8802789669029935
B (photometric variability),B1 dAmp_G,num,221,667,0.6964907011973903,0.5087478884991893,0.46655162237885583,0.5500858168200967,0.5750000000000001,True,1.0
B (photometric variability),B2 dAmp_BP,num,221,667,0.3274613459083,0.5219562164619048,0.4778806298208362,0.5642898573337766,0.5750000000000001,True,0.9823840377249
B (photometric variability),B3 dAmp_RP,num,221,667,0.08835524906404255,0.5382071407735046,0.49653654507587835,0.5811060533081875,0.5750000000000001,True,0.44177624532021276
B (photometric variability),B4 phot_variable_flag==VARIABLE,bin,221,667,0.10661065889361063,1.7497396220800476,,,0.15000000000000002,True,0.44177624532021276
B (photometric variability),B5 std_dev_mag_g_fov,num,11,58,0.7492385960651111,0.46865203761755486,0.29780564263322884,0.6473354231974922,0.7750000000000002,True,1.0
C (astrometric/imaging quality -- NOT activity),C1 ruwe,num,221,667,0.7305694542562932,0.5077235138087065,0.462715814038682,0.5511542871098387,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C2 ipd_frac_multi_peak,num,221,667,0.09706413580999562,0.5211692796135868,0.4975472670904367,0.5437293513876545,0.5750000000000001,True,0.5823848148599737
C (astrometric/imaging quality -- NOT activity),C3 ipd_gof_harmonic_amplitude,num,221,667,0.9857554186546496,0.49959635566831967,0.4561180947987545,0.5435905350492174,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C4 astrometric_excess_noise_sig,num,221,667,0.6715992992802577,0.509507689594117,0.46494382899048214,0.5534611653449293,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C5 astrometric_gof_al,num,221,667,0.8021546295779222,0.5056204929209603,0.46159951698358964,0.5500825944493817,0.5750000000000001,True,1.0
C (astrometric/imaging quality -- NOT activity),C6 phot_bp_rp_excess_factor,num,221,667,0.31703280059997885,0.4775655158845916,0.43329989417056175,0.5224655206333485,0.5750000000000001,True,1.0
NEGATIVE CONTROL (must not discriminate),N1 phot_g_n_obs,num,221,667,0.5097440459843339,0.5147822016593513,0.47128358897474343,0.5591925756578724,0.5750000000000001,True,0.5097440459843339
