source_id,run_id,batch,served,n_rows,n_cols,n_transits,n_cells,cache_bytes,produced_utc,note
4071764618812461312,m9_chain_transport,0,True,1,48,23,1038,38375,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5947787745083195776,m9_chain_transport,0,True,1,48,32,1443,39473,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4470875141981057920,m9_chain_transport,0,True,1,48,34,1533,39905,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4469695018098671616,m9_chain_transport,0,True,1,48,28,1263,38919,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4264907236557416960,m9_chain_transport,0,True,1,48,34,1533,39563,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4265039659004076928,m9_chain_transport,0,True,1,48,25,1128,38597,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4036204419983982080,m9_chain_transport,0,True,1,48,32,1443,39280,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
3352382610605291008,m9_chain_transport,0,True,1,48,25,1128,38629,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
3352455521969708672,m9_chain_transport,0,True,1,48,24,1083,38452,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
3352713318792854400,m9_chain_transport,0,True,1,48,20,903,37954,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
3352645423944452608,m9_chain_transport,0,True,1,48,24,1083,38452,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4152219080070894464,m9_chain_transport,0,True,1,48,29,1308,38967,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4152241169073346304,m9_chain_transport,0,True,1,48,26,1173,38783,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4152428433939822848,m9_chain_transport,0,True,1,48,28,1263,38969,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4152461934695548928,m9_chain_transport,0,True,1,48,27,1218,38901,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4152493786163104128,m9_chain_transport,0,True,1,48,30,1353,39267,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4312059517837251840,m9_chain_transport,0,True,1,48,29,1308,39159,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4312130917377724800,m9_chain_transport,0,True,1,48,30,1353,39152,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4312195479315683072,m9_chain_transport,0,True,1,48,28,1263,38903,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4140093906343022464,m9_chain_transport,0,True,1,48,29,1308,39076,2026-08-24T21:41:00Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4469970243907625984,m9_chain_transport,1,True,1,48,39,1758,40536,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
6027845351386841472,m9_chain_transport,1,True,1,48,48,2163,41605,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4318033572483460992,m9_chain_transport,1,True,1,48,42,1893,40854,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4318067554268804352,m9_chain_transport,1,True,1,48,39,1758,40501,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4318122912100781696,m9_chain_transport,1,True,1,48,43,1938,41153,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4318154969770099968,m9_chain_transport,1,True,1,48,44,1983,41035,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5238740729566939136,m9_chain_transport,1,True,1,48,42,1893,40863,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5542882486388690432,m9_chain_transport,1,True,1,48,50,2253,41820,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5902468173576530560,m9_chain_transport,1,True,1,48,49,2208,41833,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5097257123786799744,m9_chain_transport,1,True,1,48,44,1983,41177,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2053485922209833472,m9_chain_transport,1,True,1,48,46,2073,41509,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2053526432340112896,m9_chain_transport,1,True,1,48,50,2253,41755,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2203161370645790208,m9_chain_transport,1,True,1,48,46,2073,41422,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2203284073576537472,m9_chain_transport,1,True,1,48,44,1983,41113,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
4264891327997647232,m9_chain_transport,1,True,1,48,50,2253,41304,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2196543758052065408,m9_chain_transport,1,True,1,48,47,2118,41571,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5961261706017938816,m9_chain_transport,1,True,1,48,38,1713,40414,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5251620310014800512,m9_chain_transport,1,True,1,48,44,1983,41175,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5251879313728336640,m9_chain_transport,1,True,1,48,49,2208,41806,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
2013075090326555904,m9_chain_transport,1,True,1,48,53,2388,42267,2026-08-24T21:42:24Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
6027780338426695168,m9_chain_transport,2,True,1,48,63,2838,43502,2026-08-24T21:44:31Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5238570343939861888,m9_chain_transport,2,True,1,48,53,2388,42354,2026-08-24T21:44:31Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
5937109593082047232,m9_chain_transport,2,True,1,48,51,2298,42212,2026-08-24T21:44:31Z,"transport rehearsal: DR3 EPOCH_PHOTOMETRY carries no astrometric epochs, no adjudication attempted"
