kind,run_id,batch,n_ids,n_needed_fetch,n_served,n_rows,seconds,seconds_per_source
batch,m9_chain_transport,0,20,20,20,20,98.083,4.904
batch,m9_chain_transport,0,20,20,20,20,211.353,10.568
batch,m9_chain_transport,1,20,20,20,20,224.653,11.233
batch,m9_chain_transport,2,20,20,20,20,57.833,2.892
batch,m9_chain_transport,3,20,20,20,20,104.538,5.227
batch,m9_chain_transport,4,20,20,20,20,132.386,6.619
batch,m9_chain_transport,5,20,20,20,20,160.359,8.018
batch,m9_chain_transport,6,20,20,20,20,191.534,9.577
batch,m9_chain_transport,7,20,20,20,20,34.397,1.72
batch,m9_chain_transport,8,20,20,20,20,77.812,3.891
batch,m9_chain_transport,9,20,20,20,20,125.646,6.282
batch,m9_chain_transport,10,20,20,20,20,148.984,7.449
batch,m9_chain_transport,11,20,20,20,20,184.665,9.233
batch,m9_chain_transport,12,20,20,20,20,65.926,3.296
