source_id,release,source_id_dr3,nss_solution_type,orbit_source,orbit_period_d,orbit_significance,orbit_a0_mas,queue_bin,queue_rank,n_transits_fetched,n_transits_used,f2_single_star,parallax_mas,excess_noise_mas,fit_model,fit_seconds,verdict,verdict_scope,verdict_basis,verdict_confidence,verdict_confidence_basis,flag_alias_1yr,flag_low_lat,flag_hi_sigma_ti2,flag_xray_active,flag_dust_unresolved_south,flag_dust_sigma_fragile,flag_astrom_quiet,schema_version,verdict_source,verdict_source_version,config_version,epoch_data_release,epoch_data_structure,gaiasupdate_version,produced_utc,run_id,notes
2237987199365376,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,88,702,1.3885,-0.002339,,6p_constrained_colour,1.3687,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.39 = 0.28x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:08Z,m6_prerelease_20260821T153107,sigma_parallax 0.3533 mas; chi2 748.4; n_outliers 0
2309425390592896,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,75,597,-0.1178,0.926211,,6p_constrained_colour,0.1634,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.12 = 0.02x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0141 mas; chi2 586.3; n_outliers 0
10973744521070720,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,62,515,1.2167,0.00265,,6p_constrained_colour,0.0192,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.22 = 0.24x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.3234 mas; chi2 548.1; n_outliers 0
20694084440761600,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,74,576,0.4899,4.942145,,6p_constrained_colour,0.0379,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.49 = 0.10x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0140 mas; chi2 586.0; n_outliers 0
60730287810150016,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,73,608,0.1438,0.00321,,6p_constrained_colour,0.0207,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.14 = 0.03x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.4821 mas; chi2 606.3; n_outliers 0
435469040545191680,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,81,649,1.435,0.997734,,6p_constrained_colour,0.0301,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.44 = 0.29x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0122 mas; chi2 695.1; n_outliers 0
1457486023639239296,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,115,824,31.526,13.624072,,6p_constrained_colour,0.0729,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 31.53 = 6.31x the gate 5.0 (>= 2.0x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0111 mas; chi2 2869.0; n_outliers 0
1663617687609809280,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,95,781,1.5513,10.106683,,6p_constrained_colour,0.0406,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 1.55 = 0.31x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0092 mas; chi2 837.0; n_outliers 0
3926186255616949504,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,81,462,0.5342,0.999329,,6p_constrained_colour,0.0449,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.53 = 0.11x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.1584 mas; chi2 471.6; n_outliers 0
3937211745905473024,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,90,558,186.5027,25.631659,,6p_constrained_colour,0.0252,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 186.50 = 37.30x the gate 5.0 (>= 2.0x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.1062 mas; chi2 58847.3; n_outliers 0
4181040337841125632,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,97,637,-0.8864,1.001305,,6p_constrained_colour,0.0371,SPURIOUS,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 0.89 = 0.18x the gate 5.0 (<= 0.50x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.0090 mas; chi2 599.4; n_outliers 0
4318465066420528000,Gaia DR4 pre-release 2026-06-26,,,gaia_dr4_prerelease_epoch_sample_2026-06-26,,,,,,77,558,893.9707,1.960751,,6p_constrained_colour,0.0348,CONFIRMED,orbit_reality,epoch_astrometry_f2,HIGH,|f2| 893.97 = 178.79x the gate 5.0 (>= 2.0x = HIGH),False,False,False,False,False,False,False,day1_verdict.v1,epoch_vet_harness,"epoch_vet_harness 1.0 (M6, 2026-08-21)",5,Gaia DR4 pre-release 2026-06-26,RAW,0.1.2,2026-08-21T19:31:10Z,m6_prerelease_20260821T153107,sigma_parallax 0.5213 mas; chi2 3748334.9; n_outliers 0
