rank,tier,tier_label,object,n_tracklets,tracklets,obs_codes,n_new_obs,arc_extension_days,deepest_dt_years,joint_rms_arcsec,baseline_rms_arcsec,sigma_a_ratio,gates,skybot,ambiguity,provenance,itf_status,pointed_screen,link_keys,why_real
1,SPOTCHECK,sample of tier A (row 1),2025 PC147,2,Arms063@W85/n60879; SUBFE89@G96/n55855,G96; W85,8,5029.2,-14.63,0.2402,0.079,0.0209,strict=Y published=Y all-members-used=Y distinct-nights=2,"clean | nearest other 228.72""",none,M8,STILL_LIVE (all members),clean,lke1f3c2d277853be8; lk870870cfe68ad45c,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.240"" with every observation used (34/34); sigma_a falls to 0.0209x baseline; the arc grows 5029 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
2,SPOTCHECK,sample of tier A (row 2),2025 MB255,2,P11mJ1i@F51/n59498; P1040pY@F51/n56152,F51,6,4694.8,-13.82,0.0835,0.0509,0.00126,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 239.902"" | clean",none,M8,STILL_LIVE (all members),clean,lkeac046fbcf16830f; lk5f5fdba0fc391df0,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.084"" with every observation used (17/17); sigma_a falls to 0.00126x baseline; the arc grows 4695 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
27,SPOTCHECK,sample of tier B (row 27),2025 LY5,1,P100WnH@F51/n55775,F51,4,5055.8,-14.85,0.10156,0.10043,,"strict=Y published=Y tracklet-used=4/4 sep=71.8""/gate=2658.2""","nearest other 297.442""",none,M9-partitions,STILL_LIVE,clean,lkc34861cf02d9acf4,"4-observation F51 tracklet 14.8 y from the orbit epoch fits jointly with the object's whole published record at 0.10156"" (baseline 0.10043"") with every observation used (4/4); coarse separation 71.8"" inside a 2658.2"" gate; extends the published arc by 5056 d."
28,SPOTCHECK,sample of tier B (row 28),2025 OO93,1,SSA3EEF@G96/n55825,G96,4,5049.0,-14.72,0.16573,0.08644,,"strict=Y published=Y tracklet-used=4/4 sep=7.6""/gate=582.5""","nearest other 319.638""",none,M8,STILL_LIVE,clean,lk5f951432204bba51,"4-observation G96 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.16573"" (baseline 0.08644"") with every observation used (4/4); coarse separation 7.6"" inside a 582.5"" gate; extends the published arc by 5049 d."
29,SPOTCHECK,sample of tier B (row 29),2025 NT380,1,P101uUq@F51/n55830,F51,4,5033.8,-14.7,0.13832,0.10653,,"strict=Y published=Y tracklet-used=4/4 sep=24.4""/gate=304.2""",clean,none,M9-partitions,STILL_LIVE,clean,lkd7082a6e25d013d9,"4-observation F51 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.13832"" (baseline 0.10653"") with every observation used (4/4); coarse separation 24.4"" inside a 304.2"" gate; extends the published arc by 5034 d."
30,SPOTCHECK,sample of tier B (row 30),2025 MW195,1,SSA07CB@G96/n55823,G96,4,5023.9,-14.72,0.21108,0.09375,,"strict=Y published=Y tracklet-used=4/4 sep=7.8""/gate=2637.0""","nearest other 63.743""",none,M8,STILL_LIVE,clean,lkdc27f2e8b311c3ee,"4-observation G96 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.21108"" (baseline 0.09375"") with every observation used (4/4); coarse separation 7.8"" inside a 2637.0"" gate; extends the published arc by 5024 d."
535,SPOTCHECK,sample of tier C (row 535),2025 HU57,1,P103pHL@F51/n56044,F51,3,4748.8,-14.12,0.032252,0.032387,,"strict=Y published=Y tracklet-used=3/3 sep=51.5""/gate=2539.3""","lost-object claimant: 2023 UA69 (err 54665.5"")",RESOLVED_TO_CANDIDATE (1 claimant(s) fitted),M8,STILL_LIVE,clean,lk7fba8463f97a2b1e,"3-observation F51 tracklet 14.1 y from the orbit epoch fits jointly with the object's whole published record at 0.032252"" (baseline 0.032387"") with every observation used (3/3); coarse separation 51.5"" inside a 2539.3"" gate; extends the published arc by 4749 d. lost-object ambiguity"
536,SPOTCHECK,sample of tier C (row 536),2026 EA14,1,P109hl5@F51/n56623,F51,3,4487.8,-12.53,0.21388,0.032219,,"strict=Y published=Y tracklet-used=3/3 sep=166.4""/gate=2283.4""","lost-object claimant: 2015 KR312 (err 4396890.0"")",RESOLVED_TO_CANDIDATE (1 claimant(s) fitted),M9-extension,STILL_LIVE,clean,lkbb2aea6fbce9521a,"3-observation F51 tracklet 12.5 y from the orbit epoch fits jointly with the object's whole published record at 0.21388"" (baseline 0.032219"") with every observation used (3/3); coarse separation 166.4"" inside a 2283.4"" gate; extends the published arc by 4488 d. lost-object ambiguity"
666,SPOTCHECK,sample of tier D (row 666),2026 AK20,1,P221vsE@F52/n60616,F52,3,437.3,-1.6,0.25262,0.25747,,"strict=N published=Y tracklet-used=3/3 sep=7.2""/gate=125.9""",clean,none,M9-extension,STILL_LIVE,clean,lk5dc020f75e434d34,"3-observation F52 tracklet 1.6 y from the orbit epoch fits jointly with the object's whole published record at 0.25262"" (baseline 0.25747"") with every observation used (3/3); coarse separation 7.2"" inside a 125.9"" gate; extends the published arc by 437 d."
667,SPOTCHECK,sample of tier D (row 667),2025 MQ241,1,nf2088@W76/n60880,W76,3,0.0,-0.88,0.25066,0.1652,,"strict=N published=Y tracklet-used=3/3 sep=1.0""/gate=261.8""","nearest other 98.754""",none,M8; also M7-HELD,STILL_LIVE,clean,lkd3386eec6d56df1d,"3-observation W76 tracklet 0.9 y from the orbit epoch fits jointly with the object's whole published record at 0.25066"" (baseline 0.1652"") with every observation used (3/3); coarse separation 1.0"" inside a 261.8"" gate; falls inside the published arc (densifies, does not extend). M7 held it since HELD (Matthew's decision pending): 0.0007 arcsec over the frozen strict ceiling."
1,A,"combined-fit, all members live",2025 PC147,2,Arms063@W85/n60879; SUBFE89@G96/n55855,G96; W85,8,5029.2,-14.63,0.2402,0.079,0.0209,strict=Y published=Y all-members-used=Y distinct-nights=2,"clean | nearest other 228.72""",none,M8,STILL_LIVE (all members),clean,lke1f3c2d277853be8; lk870870cfe68ad45c,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.240"" with every observation used (34/34); sigma_a falls to 0.0209x baseline; the arc grows 5029 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
2,A,"combined-fit, all members live",2025 MB255,2,P11mJ1i@F51/n59498; P1040pY@F51/n56152,F51,6,4694.8,-13.82,0.0835,0.0509,0.00126,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 239.902"" | clean",none,M8,STILL_LIVE (all members),clean,lkeac046fbcf16830f; lk5f5fdba0fc391df0,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.084"" with every observation used (17/17); sigma_a falls to 0.00126x baseline; the arc grows 4695 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
3,A,"combined-fit, all members live",2026 ED8,3,N129111@W84/n56771; N061687@W84/n56770; N026584@W84/n56772,W84,11,4342.1,-12.13,0.0788,0.0723,0.0331,strict=Y published=Y all-members-used=Y distinct-nights=3,"nearest other 79.812"" | lost-object claimant: 2014 HZ323 (err 10606250.0"") | nearest other 73.336""",RESOLVED_TO_CANDIDATE (1/3 members),M8,STILL_LIVE (all members),clean,lk7d2337312f25a07b; lkb20552ac2c0a30ff; lk21286c0c416a6cfc,"3 tracklets across 1 station(s) fit jointly to one orbit at 0.079"" with every observation used (40/40); sigma_a falls to 0.0331x baseline; the arc grows 4342 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
4,A,"combined-fit, all members live",2026 DN40,2,H394646@T09/n57042; H461773@T09/n57043,T09,8,4047.8,-11.38,0.0668,0.0647,0.0019,strict=Y published=Y all-members-used=Y distinct-nights=2,"lost-object claimant: 2023 QD70 (err 1538.99""); 2015 DY329 (err 19450.4"") | lost-object claimant: 2023 QD70 (err 1538.99"")",RESOLVED_TO_CANDIDATE (2/2 members),M8,STILL_LIVE (all members),clean,lk1b380d4ec7af0d5d; lk27817646b8c3e79b,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.067"" with every observation used (529/529); sigma_a falls to 0.0019x baseline; the arc grows 4048 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
5,A,"combined-fit, all members live",2025 PJ112,2,XA017ZX@N88/n59140; P10dqaZ@F51/n56872,F51; N88,6,4029.6,-11.85,0.1415,0.0448,0.000492,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 87.228"" | nearest other 206.758""",none,M8; M9,STILL_LIVE (all members),clean,lk5dc879bb0216469c; lke18ece41350fff63,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.141"" with every observation used (18/18); sigma_a falls to 0.000492x baseline; the arc grows 4030 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
6,A,"combined-fit, all members live",2025 PO50,2,Fkdd1Lw@W84/n56954; Fkdx1L8@W84/n56954,W84,20,3948.0,-11.62,0.0743,0.093,0.0256,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,clean | clean,none,M8,STILL_LIVE (all members),clean,lk2ba04fde6d99df6f; lk5c70e7b5e91d2560,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.074"" with every observation used (37/37); sigma_a falls to 0.0256x baseline; the arc grows 3948 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
7,A,"combined-fit, all members live",2025 MB103,2,P12bTwc@F51/n60881; P10eKBm@F51/n56918,F51,8,3928.9,-11.72,0.0775,0.0332,0.00681,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 271.656"" | clean",none,M8,STILL_LIVE (all members),clean,lk80b41fb90900df77; lk06961c232ab7ccbd,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.078"" with every observation used (25/25); sigma_a falls to 0.00681x baseline; the arc grows 3929 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
8,A,"combined-fit, all members live",2026 FZ17,2,H401098@T09/n57402; H352223@T09/n57421,T09,10,3713.8,-10.4,0.0686,0.0614,0.00125,strict=Y published=Y all-members-used=Y distinct-nights=2,"lost-object claimant: 2016 CZ125 (err 27905.0"") | clean",RESOLVED_TO_CANDIDATE (1/2 members),M9,STILL_LIVE (all members),clean,lkba9672efdf2068c1; lk9a810c6d9201e7a3,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.069"" with every observation used (42/42); sigma_a falls to 0.00125x baseline; the arc grows 3714 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
9,A,"combined-fit, all members live",2025 MM167,2,H398480@T09/n57218; H408076@T09/n57224,T09,6,3628.7,-10.9,0.0988,0.0758,0.00567,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 359.556"" | nearest other 80.294""",none,M9,STILL_LIVE (all members),clean,lk193cda3329cc6660; lk43e15bb89cf64f4a,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.099"" with every observation used (19/19); sigma_a falls to 0.00567x baseline; the arc grows 3629 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
10,A,"combined-fit, all members live",2025 MZ288,2,P10uJs4@F51/n57488; P10uIUO@F51/n57488,F51,7,3358.7,-10.16,0.0921,0.0767,0.0394,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,clean | clean,none,M9,STILL_LIVE (all members),clean,lk1d1a9af8b95e6525; lka25413529991f96b,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.092"" with every observation used (20/20); sigma_a falls to 0.0394x baseline; the arc grows 3359 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
11,A,"combined-fit, all members live",2025 MR146,2,P10vsKG@F51/n57544; P10vsLa@F51/n57544,F51,6,3302.9,-10.01,0.0977,0.0329,0.0258,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 111.751"" | nearest other 112.36""",none,M9,STILL_LIVE (all members),clean,lk667c83df837c68c7; lk2ff37740366f668e,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.098"" with every observation used (17/17); sigma_a falls to 0.0258x baseline; the arc grows 3303 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
12,A,"combined-fit, all members live",2025 QN193,2,P10wsEd@F51/n57608; P10wsPV@F51/n57608,F51,6,3295.7,-9.83,0.0969,0.0634,0.0132,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 184.867"" | nearest other 185.058""",none,M8,STILL_LIVE (all members),clean,lkd1216a6be74efaec; lkfaf8b0e2659c5553,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.097"" with every observation used (22/22); sigma_a falls to 0.0132x baseline; the arc grows 3296 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
13,A,"combined-fit, all members live",2025 MK265,2,P10wtjC@F51/n57608; P10wqCu@F51/n57608,F51,6,3238.8,-9.83,0.1166,0.0943,0.000559,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"lost-object claimant: 2015 HO455 (err 719100.0"") | lost-object claimant: 2015 HO455 (err 719100.0"")",RESOLVED_TO_CANDIDATE (2/2 members),M8,STILL_LIVE (all members),clean,lk914edc4c953b75a6; lk22532e64edf84022,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.117"" with every observation used (23/23); sigma_a falls to 0.000559x baseline; the arc grows 3239 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
14,A,"combined-fit, all members live",2025 PH244,2,P10JgFh@F51/n58348; ZTB244F@G96/n58397,F51; G96,7,2516.7,-7.81,0.191,0.1139,0.00358,strict=Y published=Y all-members-used=Y distinct-nights=2,clean | clean,none,M9,STILL_LIVE (all members),clean,lka19dc5e9922b68bd; lk6bf9586ff7ffc144,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.191"" with every observation used (25/25); sigma_a falls to 0.00358x baseline; the arc grows 2517 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
15,A,"combined-fit, all members live",2026 ES66,2,C1WRK42@G96/n58873; P10WWdL@F51/n58873,F51; G96,7,2239.9,-6.37,0.1111,0.0121,0.231,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 340.382"" | nearest other 320.207""",none,M8,STILL_LIVE (all members),clean,lk8a3ed45bbe9cb38f; lkd99277928c3c097b,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.111"" with every observation used (26/26); sigma_a falls to 0.231x baseline; the arc grows 2240 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
16,A,"combined-fit, all members live",2025 NR259,2,P114H56@F51/n59084; P114H2M@F51/n59084,F51,7,1774.8,-5.79,0.0967,0.0862,0.00529,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 282.844"" | nearest other 283.845""",none,M8,STILL_LIVE (all members),clean,lkceac52eaa2e32b08; lk651aad9e34b1d5dd,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.097"" with every observation used (25/25); sigma_a falls to 0.00529x baseline; the arc grows 1775 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
17,A,"combined-fit, all members live",2025 MR238,2,P113Nf5@F51/n59074; P113NeH@F51/n59074,F51,6,1772.9,-5.82,0.0898,0.0751,0.0246,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 272.12"" | nearest other 272.164""",none,M8,STILL_LIVE (all members),clean,lkf39bcc18c8adb204; lkb44adf395909f27c,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.090"" with every observation used (21/21); sigma_a falls to 0.0246x baseline; the arc grows 1773 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
18,A,"combined-fit, all members live",2025 OF152,2,IALN1NY@W84/n59140; IALC1NA@W84/n59140,W84,59,1735.4,-5.64,0.0755,0.0873,0.409,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"lost-object claimant: 2020 RX144 (err 8676.35""); 2020 RH70 (err 42712.5"") | lost-object claimant: 2020 RX144 (err 8676.35""); 2020 RH70 (err 42712.5"")",RESOLVED_TO_CANDIDATE (2/2 members),M9,STILL_LIVE (all members),clean,lk678b2eed3df1e5ac; lk7c4473dbc523b339,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.076"" with every observation used (71/71); sigma_a falls to 0.409x baseline; the arc grows 1735 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
19,A,"combined-fit, all members live",2025 MF294,2,IC9e3FA@W84/n59165; IC9e3FA@W84/n59164,W84,4,1683.1,-5.57,0.1457,0.1282,0.151,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 144.659"" | nearest other 176.047""",none,M8,STILL_LIVE (all members),clean,lk9e6a0974c93fd3e9; lk647d9b7da2ed947e,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.146"" with every observation used (16/16); sigma_a falls to 0.151x baseline; the arc grows 1683 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
20,A,"combined-fit, all members live",2025 NK70,2,P21kuEE@F52/n59465; P21kuEy@F52/n59465,F52,8,1392.8,-4.75,0.1016,0.1043,0.00201,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,clean | clean,none,M9,STILL_LIVE (all members),clean,lk5f5f25dc25d5fbba; lk1a22ed0b13ac2a7b,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.102"" with every observation used (23/23); sigma_a falls to 0.00201x baseline; the arc grows 1393 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
21,A,"combined-fit, all members live",2025 NN40,2,P11kC8b@F51/n59466; C5V4TC2@G96/n59466,F51; G96,6,1392.0,-4.75,0.2101,0.0371,0.0457,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 153.924"" | nearest other 150.823""",none,M8,STILL_LIVE (all members),clean,lkd9ca0517c7b43c20; lkb139cfc6b255f791,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.210"" with every observation used (20/20); sigma_a falls to 0.0457x baseline; the arc grows 1392 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
22,A,"combined-fit, all members live",2025 OG606,2,C07ZHF5@V00/n59490; C07ZGG5@V00/n59490,V00,7,1385.1,-4.68,0.1886,0.0559,0.261,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 197.559"" | nearest other 197.595""",none,M8,STILL_LIVE (all members),clean,lkbb6973c6f86e81b7; lk14422c2f0f36bc19,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.189"" with every observation used (26/26); sigma_a falls to 0.261x baseline; the arc grows 1385 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
23,A,"combined-fit, all members live",2025 MK223,2,P11l8Mt@F51/n59470; P11l6Tv@F51/n59470,F51,8,1376.9,-4.74,0.0796,0.0626,0.046,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,clean | clean,none,M8,STILL_LIVE (all members),clean,lkc9d3acc1311c9247; lkc46cdbb999c7919c,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.080"" with every observation used (31/31); sigma_a falls to 0.046x baseline; the arc grows 1377 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
24,A,"combined-fit, all members live",2025 NF85,2,IaJM1KT@W84/n59513; IaMi1Jr@W84/n59514,W84,6,1344.2,-4.62,0.0725,0.0761,0.0605,strict=Y published=Y all-members-used=Y distinct-nights=2,"nearest other 172.633"" | nearest other 260.538""",none,M8,STILL_LIVE (all members),clean,lk93bfced02cad004c; lkba8b8b5f291716b4,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.073"" with every observation used (17/17); sigma_a falls to 0.0605x baseline; the arc grows 1344 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
25,A,"combined-fit, all members live",2025 NF347,2,P11oSVi@F51/n59529; P21oOlr@F52/n59529,F51; F52,7,1328.9,-4.57,0.0881,0.0852,0.203,strict=Y published=Y all-members-used=Y distinct-nights=2,"lost-object claimant: 2021 UQ111 (err 13407.5"") | lost-object claimant: 2021 UQ111 (err 13407.5"")",RESOLVED_TO_CANDIDATE (2/2 members),M8,STILL_LIVE (all members),clean,lk123cf7a1830d7078; lk30cb896016b40c73,"2 tracklets across 2 station(s) fit jointly to one orbit at 0.088"" with every observation used (22/22); sigma_a falls to 0.203x baseline; the arc grows 1329 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
26,A,"combined-fit, all members live",2025 MM125,2,P11zGrc@F51/n59854; P11zFtf@F51/n59854,F51,7,992.9,-3.68,0.1352,0.108,0.155,strict=Y published=Y all-members-used=Y distinct-nights=1 shared-night-groups=1,"nearest other 126.382"" | nearest other 139.339""",none,M9,STILL_LIVE (all members),clean,lk5535bd6431822962; lk713de0a6a892e37f,"2 tracklets across 1 station(s) fit jointly to one orbit at 0.135"" with every observation used (29/29); sigma_a falls to 0.155x baseline; the arc grows 993 d. Mutual corroboration that was tested rather than assumed - the joint fit had the power to refute it and did not."
27,B,"single tracklet, caveat-free",2025 LY5,1,P100WnH@F51/n55775,F51,4,5055.8,-14.85,0.10156,0.10043,,"strict=Y published=Y tracklet-used=4/4 sep=71.8""/gate=2658.2""","nearest other 297.442""",none,M9-partitions,STILL_LIVE,clean,lkc34861cf02d9acf4,"4-observation F51 tracklet 14.8 y from the orbit epoch fits jointly with the object's whole published record at 0.10156"" (baseline 0.10043"") with every observation used (4/4); coarse separation 71.8"" inside a 2658.2"" gate; extends the published arc by 5056 d."
28,B,"single tracklet, caveat-free",2025 OO93,1,SSA3EEF@G96/n55825,G96,4,5049.0,-14.72,0.16573,0.08644,,"strict=Y published=Y tracklet-used=4/4 sep=7.6""/gate=582.5""","nearest other 319.638""",none,M8,STILL_LIVE,clean,lk5f951432204bba51,"4-observation G96 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.16573"" (baseline 0.08644"") with every observation used (4/4); coarse separation 7.6"" inside a 582.5"" gate; extends the published arc by 5049 d."
29,B,"single tracklet, caveat-free",2025 NT380,1,P101uUq@F51/n55830,F51,4,5033.8,-14.7,0.13832,0.10653,,"strict=Y published=Y tracklet-used=4/4 sep=24.4""/gate=304.2""",clean,none,M9-partitions,STILL_LIVE,clean,lkd7082a6e25d013d9,"4-observation F51 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.13832"" (baseline 0.10653"") with every observation used (4/4); coarse separation 24.4"" inside a 304.2"" gate; extends the published arc by 5034 d."
30,B,"single tracklet, caveat-free",2025 MW195,1,SSA07CB@G96/n55823,G96,4,5023.9,-14.72,0.21108,0.09375,,"strict=Y published=Y tracklet-used=4/4 sep=7.8""/gate=2637.0""","nearest other 63.743""",none,M8,STILL_LIVE,clean,lkdc27f2e8b311c3ee,"4-observation G96 tracklet 14.7 y from the orbit epoch fits jointly with the object's whole published record at 0.21108"" (baseline 0.09375"") with every observation used (4/4); coarse separation 7.8"" inside a 2637.0"" gate; extends the published arc by 5024 d."
