name,RAJ,DECJ,RA_deg,Dec_deg,source
B1855+09,18:57:36.390292,+09:43:17.19177,284.401626,9.721442,ATNF
B1937+21,19:39:38.5611889,+21:34:59.119343,294.910672,21.583089,ATNF
B1953+29,19:55:27.875263,+29:08:43.43329,298.866147,29.145398,ATNF
J0023+0923,00:23:16.877498,+09:23:23.8604,5.820323,9.389961,ATNF
J0030+0451,00:30:27.42750,+04:51:39.7116,7.614281,4.861031,ATNF
J0340+4130,03:40:23.287961,+41:30:45.2911,55.097033,41.512581,ATNF
J0406+3039,04:06:00,+30:39:00,61.500000,30.650000,NAME_APPROX
J0437-4715,04:37:15.8961737,-47:15:09.110714,69.316234,-47.252531,ATNF
J0509+0856,05:09:22.23485,+08:56:25.0248,77.342645,8.940285,ATNF
J0557+1551,05:57:00,+15:51:00,89.250000,15.850000,NAME_APPROX
J0605+3757,06:05:05.5439,+37:57:35.96,91.273100,37.959989,ATNF
J0610-2100,06:10:13.596735,-21:00:27.89913,92.556653,-21.007750,ATNF
J0613-0200,06:13:43.975901,-02:00:47.23742,93.433233,-2.013122,ATNF
J0636+5128,06:36:04.847464,+51:28:59.96547,99.020198,51.483324,ATNF
J0645+5158,06:45:59.082310,+51:58:14.91313,101.496176,51.970809,ATNF
J0709+0458,07:09:08.36539,+04:58:51.4941,107.284856,4.980971,ATNF
J0740+6620,07:40:45.792765,+66:20:33.51965,115.190803,66.342644,ATNF
J0931-1902,09:31:19.117146,-19:02:55.0278,142.829655,-19.048619,ATNF
J1012+5307,10:12:33.438448,+53:07:02.26348,153.139327,53.117295,ATNF
J1012-4235,10:12:12.941,-42:35:53.44,153.053921,-42.598178,ATNF
J1022+1001,10:22:57.9944,+10:01:52.68,155.741643,10.031300,ATNF
J1024-0719,10:24:38.671370,-07:19:19.51217,156.161131,-7.322087,ATNF
J1125+7819,11:25:59.85664,+78:19:48.71546,171.499403,78.330199,ATNF
J1312+0051,13:12:46.64232,+00:51:00.104,198.194343,0.850029,ATNF
J1453+1902,14:53:45.719363,+19:02:12.1142,223.440497,19.036698,ATNF
J1455-3330,14:55:47.970656,-33:30:46.3869,223.949878,-33.512885,ATNF
J1600-3053,16:00:51.903102,-30:53:49.39259,240.216263,-30.897053,ATNF
J1614-2230,16:14:36.507540,-22:30:31.2961,243.652115,-22.508693,ATNF
J1630+3734,16:30:36.46693,+37:34:42.097,247.651946,37.578360,ATNF
J1640+2224,16:40:16.745069,+22:24:08.82406,250.069771,22.402451,ATNF
J1643-1224,16:43:38.162198,-12:24:58.6723,250.909009,-12.416298,ATNF
J1705-1903,17:05:27,-19:08:04,256.362500,-19.134444,ATNF
J1713+0747,17:13:49.5337847,+07:47:37.479763,258.456391,7.793744,ATNF
J1719-1438,17:19:10.07293,-14:38:00.942,259.791971,-14.633595,ATNF
J1730-2304,17:30:21.67096,-23:04:31.155,262.590296,-23.075321,ATNF
J1738+0333,17:38:53.9658386,+03:33:10.86667,264.724858,3.553019,ATNF
J1741+1351,17:41:31.1447385,+13:51:44.11589,265.379770,13.862254,ATNF
J1744-1134,17:44:29.4097778,-11:34:54.71673,266.122541,-11.581866,ATNF
J1745+1017,17:45:33.8371,+10:17:52.523,266.390988,10.297923,ATNF
J1747-4036,17:47:48.716407,-40:36:54.7912,266.952985,-40.615220,ATNF
J1751-2857,17:51:32.693197,-28:57:46.520,267.886222,-28.962922,ATNF
J1802-2124,18:02:05.335576,-21:24:03.649,270.522232,-21.401014,ATNF
J1811-2405,18:11:19.854050,-24:05:18.422,272.832725,-24.088451,ATNF
J1832-0836,18:32:27.592488,-08:36:55.03357,278.114969,-8.615287,ATNF
J1843-1113,18:43:41.261917,-11:13:31.0686,280.921925,-11.225297,ATNF
J1853+1303,18:53:57.318221,+13:03:44.04867,283.488826,13.062236,ATNF
J1903+0327,19:03:05.793213,+03:27:19.20911,285.774138,3.455336,ATNF
J1909-3744,19:09:47.4322832,-37:44:14.583740,287.447635,-37.737384,ATNF
J1910+1256,19:10:09.701495,+12:56:25.45385,287.540423,12.940404,ATNF
J1911+1347,19:11:55.2034741,+13:47:34.35584,287.980014,13.792877,ATNF
J1918-0642,19:18:48.032722,-06:42:34.90044,289.700136,-6.709695,ATNF
J1923+2515,19:23:22.492220,+25:15:40.58114,290.843718,25.261273,ATNF
J1944+0907,19:44:09.329978,+09:07:23.02872,296.038875,9.123064,ATNF
J1946+3417,19:46:25.129895,+34:17:14.69010,296.604708,34.287414,ATNF
J2010-1323,20:10:45.921426,-13:23:56.0953,302.691339,-13.398915,ATNF
J2017+0603,20:17:22.705223,+06:03:05.56393,304.344605,6.051546,ATNF
J2033+1734,20:33:27.511513,+17:34:58.46296,308.364631,17.582906,ATNF
J2043+1711,20:43:20.8813524,+17:11:28.89999,310.837006,17.191361,ATNF
J2124-3358,21:24:43.846081,-33:58:45.01036,321.182692,-33.979170,ATNF
J2145-0750,21:45:50.459526,-07:50:18.5083,326.460248,-7.838475,ATNF
J2214+3000,22:14:38.853711,+30:00:38.19160,333.661890,30.010609,ATNF
J2229+2643,22:29:50.884417,+26:43:57.64404,337.462018,26.732679,ATNF
J2234+0611,22:34:23.073090,+06:11:28.68633,338.596138,6.191302,ATNF
J2234+0944,22:34:46.854173,+09:44:30.2224,338.695226,9.741728,ATNF
J2302+4442,23:02:46.978387,+44:42:22.08051,345.695743,44.706133,ATNF
J2317+1439,23:17:09.236381,+14:39:31.26102,349.288485,14.658684,ATNF
J2322+2057,23:22:22.33516,+20:57:02.6772,350.593063,20.950744,ATNF
