group,credit_count,credit_pct,sole_count,sole_pct
ATLAS,8310,27.29,1443,4.74
Pan-STARRS,8250,27.09,3721,12.22
GOTO,8205,26.94,1369,4.5
WFST,8126,26.68,5714,18.76
ZTF,7934,26.05,2087,6.85
ALeRCE,3657,12.01,2359,7.75
LAST,1602,5.26,633,2.08
YSE,1319,4.33,434,1.43
BlackGEM,792,2.6,66,0.22
Fink,599,1.97,8,0.03
GW-MMADS,464,1.52,402,1.32
MASTER,361,1.19,232,0.76
SGLF,329,1.08,276,0.91
XOSS,297,0.98,188,0.62
DESIRT,183,0.6,143,0.47
DCAP,103,0.34,69,0.23
Lasair,96,0.32,84,0.28
(none),95,0.31,95,0.31
Shadow,95,0.31,85,0.28
Rubin,65,0.21,50,0.16
ANTARES,49,0.16,43,0.14
JWST-NEXUS,49,0.16,49,0.16
VHU-TDA,43,0.14,35,0.11
JCAST,30,0.1,30,0.1
ASAS-SN,23,0.08,7,0.02
GEOTS,23,0.08,19,0.06
STSP,17,0.06,4,0.01
SNHunt,14,0.05,6,0.02
SAGUARO,12,0.04,4,0.01
Firstlight,12,0.04,12,0.04
DESGW,7,0.02,4,0.01
Tomo-e Gozen,6,0.02,0,0.0
AAS2RTO,6,0.02,3,0.01
Padova-Asiago,5,0.02,1,0.0
ISSP,4,0.01,1,0.0
MeerLICHT,3,0.01,2,0.01
F. D. Romanov,3,0.01,2,0.01
ROTS,3,0.01,1,0.0
COIN,3,0.01,2,0.01
FLEET,3,0.01,3,0.01
SZCYS,2,0.01,1,0.0
BHTOM,2,0.01,2,0.01
ILMT,2,0.01,0,0.0
BraTS,2,0.01,1,0.0
GSNST,2,0.01,0,0.0
ULL-ASTRO-MASTER,1,0.0,0,0.0
CSNS,1,0.0,1,0.0
PSST-XL,1,0.0,0,0.0
ATALab,1,0.0,1,0.0
USTC-TDE,1,0.0,1,0.0
DogsHeavenTS,1,0.0,1,0.0
