set,tns_name,ztf_oid,reporting_groups,obj_type,disc_mag,disc_filter,disc_ut,disc_jd,report_ut,report_jd,report_lag_days,n_alerts_total,n_alerts_pre_cutoff,recovered_pre_report,channel_pre,reason_pre,first_pass_jd,lead_days_vs_report,lead_days_this_episode,recovered_at_discovery_epoch,mag_at_pass,ever_passes,channel_ever,reason_ever,tns_internal_name
DCAP_group195,AT 2026wtb,ZTF26ablduxl,DCAP,,17.28,r-ZTF,2026-08-02 04:06:53.000,2461254.6714467593,2026-08-02 16:57:28,2461255.206574074,0.535,7,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.89"" away",2461254.7134722,0.493,0.493,False,17.506275,True,A1_cv_outburst,"outburst on a PS1 point source 2.89"" away",ZTF26ablduxl
DCAP_group195,AT 2026wjj,ZTF26abkouly,DCAP,CV,14.55,g-ZTF,2026-07-29 04:58:23.000,2461250.7072106483,2026-07-29 16:28:44,2461251.1866203705,0.479,12,2,False,,"only 0 clean detection(s), need 2",,,,False,,False,,already in TNS: CV,ZTF26abkouly
DCAP_group195,AT 2026wht,ZTF26abkbfhh,DCAP,,18.98,i-ZTF,2026-07-26 04:54:00.000,2461247.7041666666,2026-07-27 15:50:57,2461249.1603819444,1.456,11,1,False,,"only 1 clean detection(s), need 2",,,,False,,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",ZTF26abkbfhh
DCAP_group195,AT 2026stb,ZTF26abfokua,"DCAP, GOTO",Nova,15.06,r-ZTF,2026-07-08 06:35:20.000,2461229.774537037,2026-07-09 05:04:43,2461230.7116087964,0.937,31,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.16"" away [galactic plane]",2461229.8735301,0.838,0.838,False,17.115993,False,,already in TNS: Nova,ZTF26abfokua
DCAP_group195,AT 2026rdg,ZTF26abemjfk,DCAP,Nova,12.53,r-ZTF,2026-07-01 07:19:05.000,2461222.8049189816,2026-07-01 14:20:47,2461223.097766204,0.293,37,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.66"" away [galactic plane]",2461222.8512963,0.246,0.246,False,14.459069,False,,already in TNS: Nova,ZTF26abemjfk
DCAP_group195,AT 2026rdb,ZTF26abdwwxf,"DCAP, WFST, Pan-STARRS",,20.58,g-ZTF,2026-06-19 10:13:14.000,2461210.9258564813,2026-07-01 07:06:12,2461222.795972222,11.87,2,2,True,A2_nova_like,"no PS1 source within 3.0""",2461217.9609722,4.835,4.835,False,20.454832,True,A2_nova_like,"no PS1 source within 3.0""",ZTF26abdwwxf
DCAP_group195,AT 2026rcs,ZTF18abivrfu,DCAP,,17.07,g-ZTF,2026-06-28 10:06:41.000,2461219.92130787,2026-07-01 02:23:41,2461222.5997800925,2.678,35,20,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",2459382.8789699,1839.721,1.675,True,17.439283,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",ZTF18abivrfu
DCAP_group195,AT 2026qre,ZTF26abbhawe,"DCAP, Pan-STARRS, ALeRCE",,20.56,g-ZTF,2026-06-11 10:27:58.000,2461202.936087963,2026-06-29 07:45:59,2461220.823599537,17.888,3,3,True,C_faint_residue,faint residue at mag 20.23,2461204.9136458,15.91,15.91,False,20.229374,True,C_faint_residue,faint residue at mag 20.23,ZTF26abbhawe
DCAP_group195,AT 2026qqz,ZTF26abckjvu,DCAP,,19.25,r-ZTF,2026-06-15 09:29:04.000,2461206.895185185,2026-06-29 05:17:44,2461220.720648148,13.825,52,9,True,A1_cv_outburst,"outburst on a PS1 point source 0.13"" away [galactic plane]",2461210.9455787,9.775,9.775,False,19.68839,True,A1_cv_outburst,"outburst on a PS1 point source 0.13"" away [galactic plane]",ZTF26abckjvu
DCAP_group195,AT 2026qpc,ZTF26abecjxu,DCAP,,17.21,g-ZTF,2026-06-26 09:00:36.000,2461217.8754166667,2026-06-28 08:56:16,2461219.8724074075,1.997,15,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.04"" away [galactic plane]",2461219.7938657,0.079,0.079,False,17.167702,True,A1_cv_outburst,"outburst on a PS1 point source 2.04"" away [galactic plane]",ZTF26abecjxu
DCAP_group195,AT 2026qjj,ZTF26abebhvt,DCAP,,15.19,r-ZTF,2026-06-26 06:33:43.000,2461217.773414352,2026-06-27 14:50:58,2461219.118726852,1.345,29,3,True,A1_cv_outburst,"outburst on a PS1 point source 1.48"" away [galactic plane]",2461218.7990509,0.32,0.32,False,14.983217,True,A1_cv_outburst,"outburst on a PS1 point source 1.48"" away [galactic plane]",ZTF26abebhvt
DCAP_group195,AT 2026qij,ZTF26abeboii,DCAP,,15.76,r-ZTF,2026-06-26 07:25:47.000,2461217.8095717593,2026-06-27 07:59:29,2461218.832974537,1.023,32,3,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461217.9191898,0.914,0.914,False,15.600364,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",ZTF26abeboii
DCAP_group195,AT 2026qdy,ZTF26abdvnkt,DCAP,,18.94,g-ZTF,2026-06-25 08:02:07.000,2461216.834803241,2026-06-26 15:38:00,2461218.1513888887,1.317,15,3,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",2461217.7729167,0.378,0.378,False,17.300793,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",ZTF26abdvnkt
DCAP_group195,AT 2026pyp,ZTF26abdgzsu,DCAP,,17.32,g-ZTF,2026-06-23 06:43:53.000,2461214.780474537,2026-06-23 16:25:57,2461215.1846875,0.404,29,3,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",2461214.7804861,0.404,0.404,True,17.327778,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",ZTF26abdgzsu
DCAP_group195,AT 2026pvw,ZTF26abaohie,DCAP,,17.01,r-ZTF,2026-06-14 09:28:42.000,2461205.8949305555,2026-06-22 02:46:06,2461213.6153472224,7.72,12,8,True,A1_cv_outburst,"outburst on a PS1 point source 0.15"" away [galactic plane]",2461200.8808565,12.734,12.734,True,19.178991,True,A1_cv_outburst,"outburst on a PS1 point source 0.15"" away [galactic plane]",ZTF26abaohie
