oid,tns,first_report_group,channel,gal_b,mag_at_pass,amp,first_report_ut,lead_days
ZTF26abqgbkd,AT 2026zuu,ZTF,A2_nova_like,-22.251,17.476,5.175,2026-08-24 17:55:01,1.423
ZTF26abpntyo,AT 2026zuv,ZTF,A2_nova_like,-12.264,19.07,2.005,2026-08-24 17:57:35,1.422
ZTF26abqfafz,AT 2026zuw,ZTF,A2_nova_like,15.419,18.726,4.375,2026-08-24 17:57:40,0.542
ZTF26abfqaef,AT 2026srl,ZTF,A2_nova_like,-53.797,19.512,3.6,2026-07-08 16:38:46,0.229
ZTF26abqhtiz,AT 2026zoy,ZTF,A2_nova_like,-54.712,19.798,2.622,2026-08-23 12:14:26,0.095
ZTF26abjdply,AT 2026wbq,ZTF,C_faint_residue,-49.03,19.474,2.48,2026-07-23 23:50:46,-0.337
ZTF26abohnal,AT 2026yzi,ALeRCE,A1_cv_outburst,-35.913,19.889,3.353,2026-08-15 21:45:35,-0.494
ZTF26aboiduy,AT 2026zar,ZTF,A2_nova_like,-53.626,20.141,2.694,2026-08-16 20:14:49,-0.609
ZTF26abohgcq,AT 2026yzf,ZTF,A2_nova_like,-38.468,19.859,1.156,2026-08-15 15:30:15,-0.728
ZTF26abfqgvj,AT 2026sra,ZTF,A1_cv_outburst,-61.783,19.874,1.851,2026-07-08 13:11:17,-0.862
ZTF26abhlzkx,AT 2026vsg,ZTF,A2_nova_like,-50.793,20.405,2.963,2026-07-23 10:26:04,-1.006
ZTF26abpqcxu,AT 2026zfn,ATLAS,A2_nova_like,-56.909,19.098,2.664,2026-08-19 00:01:11,-4.397
ZTF26abmjire,AT 2026yey,GOTO,A2_nova_like,-59.949,19.026,4.291,2026-08-07 22:53:17,-7.451
ZTF26abjydni,AT 2026wew,ZTF,A2_nova_like,-65.991,19.59,1.717,2026-07-25 14:36:53,-8.832
