set,config,tns_name,ztf_oid,obj_type,disc_mag,n_alerts_pre_cutoff,recovered,channel,reason,amp,ptp_band,neg_frac,hist_span_days,lead_days_vs_report,lead_days_this_episode
DCAP_group195,M1_baseline,AT 2026wtb,ZTF26ablduxl,,17.28,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.89"" away",5.194,,0.0,0.04,0.493,0.493
DCAP_group195,M1_baseline,AT 2026wjj,ZTF26abkouly,CV,14.55,2,False,,"only 0 clean detection(s), need 2",,,,,,
DCAP_group195,M1_baseline,AT 2026wht,ZTF26abkbfhh,,18.98,1,False,,"only 1 clean detection(s), need 2",,,,,,
DCAP_group195,M1_baseline,AT 2026stb,ZTF26abfokua,Nova,15.06,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.16"" away [galactic plane]",7.285,,0.0,0.1,0.838,0.838
DCAP_group195,M1_baseline,AT 2026rdg,ZTF26abemjfk,Nova,12.53,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.66"" away [galactic plane]",8.544,,0.0,0.05,0.246,0.246
DCAP_group195,M1_baseline,AT 2026rdb,ZTF26abdwwxf,,20.58,2,True,A2_nova_like,"no PS1 source within 3.0""",0.805,0.084,0.0,7.04,4.835,4.835
DCAP_group195,M1_baseline,AT 2026rcs,ZTF18abivrfu,,17.07,20,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",1.127,2.675,0.0,1061.98,1839.721,1.675
DCAP_group195,M1_baseline,AT 2026qre,ZTF26abbhawe,,20.56,3,True,C_faint_residue,faint residue at mag 20.23,0.498,0.269,0.0,1.98,15.91,15.91
DCAP_group195,M1_baseline,AT 2026qqz,ZTF26abckjvu,,19.25,9,True,A1_cv_outburst,"outburst on a PS1 point source 0.13"" away [galactic plane]",1.911,1.31,0.0,4.05,9.775,9.775
DCAP_group195,M1_baseline,AT 2026qpc,ZTF26abecjxu,,17.21,2,True,A1_cv_outburst,"outburst on a PS1 point source 2.04"" away [galactic plane]",4.193,,0.0,1.92,0.079,0.079
DCAP_group195,M1_baseline,AT 2026qjj,ZTF26abebhvt,,15.19,3,True,A1_cv_outburst,"outburst on a PS1 point source 1.48"" away [galactic plane]",5.375,0.225,0.0,1.03,0.32,0.32
DCAP_group195,M1_baseline,AT 2026qij,ZTF26abeboii,,15.76,3,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",6.711,0.085,0.0,495.87,0.914,0.914
DCAP_group195,M1_baseline,AT 2026qdy,ZTF26abdvnkt,,18.94,3,True,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away [galactic plane]",4.655,1.503,0.0,0.94,0.378,0.378
DCAP_group195,M1_baseline,AT 2026pyp,ZTF26abdgzsu,,17.32,3,True,A2_nova_like,"no PS1 source within 3.0"" [galactic plane]",3.795,1.96,0.0,0.9,0.404,0.404
DCAP_group195,M1_baseline,AT 2026pvw,ZTF26abaohie,,17.01,8,True,A1_cv_outburst,"outburst on a PS1 point source 0.15"" away [galactic plane]",-0.133,1.309,0.0,0.98,12.734,12.734
DCAP_group195,M1_baseline,SN 2026plj,ZTF26abcfeco,SN Ia,20.38,2,True,A2_nova_like,"no PS1 source within 3.0""",0.537,0.279,0.0,1.07,0.44,0.44
DCAP_group195,M1_baseline,AT 2026oww,ZTF26abamsxi,,19.44,6,False,,"nuclear: on a PS1 galaxy centroid (TDE/AGN territory, out of scope)",,,,,,
