oid,stratum,ra,dec,gal_b,channel,mag_at_pass,m1_outburst_amp,m1_ptp_60d,n_alerts_total,drb,nbad,fwhm,elong,distnr,magnr,sgscore1,distpsnr1,ndethist,jdstarthist,hist_span_d,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period
ZTF19acbplek,A,267.0176289,8.0610549,17.727657468922207,A1_cv_outburst,18.619282,4.17,0.06,51,0.9999502,0,2.38,1.095952,0.2232365,21.884,0.507964,0.11437724,6,2458333.6727662,646.2587153003551,1,0.11,1.1767267017668376e+17,,,21.4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF20abmrpsq,A,322.3297457,-25.5233472,-44.99200496968864,A1_cv_outburst,20.054302,1.62,0.36,251,0.99915916,0,2.0,1.178487,0.22997442,20.383,0.94375,0.18158689,5,2458776.6816204,272.2577777002007,1,0.18,7.737322329723216e+16,20.1212,20.2536,19.9907,1.0,0.19,Gaia DR3 6815108729240079104,0.4346,0.5141,-0.296,-0.338,19.851316,0.445305,1.0,0.19,AGN,0.6935636,,,,,,,,,,,,,,,,,,
ZTF18abobdzu,A,273.2064671,-4.7857839,6.353984285327051,A1_cv_outburst,19.111622,1.54,1.01,700,0.99999577,0,2.34,1.1577142,0.46769485,17.023,0.869958,0.4916198,1250,2458307.8153935,2168.0585185000673,2,0.49,1.022527320634475e+17,17.608,15.0729,11.829,1.0,0.47,Gaia DR3 4173514245169043712,0.1609,0.0946,2.926,-2.436,12.704073,5.17548,,,,,1.0,0.39,J273.2063-04.7857,dubious,175.408676,1.0,0.54,18124951-0447087,7.71,6.528,6.019,,,,,,,
ZTF19aaxsbas,B,282.2682762,-5.5681491,-2.0117319722526523,A1_cv_outburst,19.135899,1.04,0.37,226,0.9999987,0,1.3238472,1.223092,0.43535814,17.488,1.0,0.43294862,39,2458605.9402431,533.6668981001712,1,0.43,1.0131282268384875e+17,17.1699,15.4129,14.6076,2.0,0.43,Gaia DR3 4254848113948089472,0.3011,0.0503,-0.221,-1.679,15.207059,2.644175,,,,,1.0,0.44,J282.2683-05.5680,dubious,32.68182,1.0,0.52,18490440-0534049,11.88,10.979,10.622,,,,,,,
ZTF18abbsyyw,B,287.4587117,3.9256232,-2.2912638475952867,A1_cv_outburst,16.439053,0.99,0.92,210,0.9990931,0,1.3661082,1.1698774,0.20260896,14.219999,0.844875,0.15169404,195,2458276.9224884,1410.063935200218,2,0.15,1.1271287458680125e+17,16.8508,14.6943,12.4097,2.0,0.19,Gaia DR3 4269117571480533504,0.1585,0.0481,-0.762,-0.679,13.085473,4.315565,,,,,,,,,,1.0,0.22,19095008+0355324,8.758,7.584,7.085,1.0,4.24,Gaia DR3 4269117575849198336,VAR,16.57,16.74,0.0833246
ZTF18abutckp,B,322.9792056,4.2661291,-32.5467388377663,A1_cv_outburst,19.864714,0.92,1.16,535,0.9999989,0,1.2208501,1.1138996,0.32240272,18.61,0.997292,0.31916392,112,2458280.8799537,716.0861689997837,1,0.32,1.131132297926799e+17,19.5533,18.1986,17.2108,1.0,0.28,Gaia DR3 2698173741829957888,1.0184,0.1273,-9.877,-7.692,17.49299,1.630951,,,,,1.0,0.32,J322.9792+04.2661,dubious,1498.041748,1.0,0.34,21315502+0415583,16.282,15.336,15.397,,,,,,,
ZTF18abbdqqd,B,283.6703641,12.1070262,4.779555442480137,A1_cv_outburst,17.713867,0.59,0.94,1017,0.9980984,0,1.97,1.0503817,0.03405516,18.079,0.90825,0.06312309,309,2458284.8953588,687.0048032002524,1,0.06,1.2252283670384896e+17,17.7427,17.1885,16.8221,2.0,0.06,Gaia DR3 4504366399300867968,0.4436,0.0875,-1.935,-10.007,17.109604,1.235651,,,,,,,,,,1.0,0.03,18544088+1206253,15.337,14.92,15.186,,,,,,,
ZTF20abvccny,B,262.151087,3.911015,20.186604627397323,A1_cv_outburst,19.225986,0.52,1.21,4,0.99999464,0,3.1,1.1293334,0.7354844,19.466,0.99125,0.7737563,5,2458975.8059954,2259.926909700036,1,0.77,1.1269262151283384e+17,19.4413,18.1136,16.57,1.0,0.74,Gaia DR3 4389025847131598208,5.9606,0.0882,-15.819,-19.451,17.293968,3.033842,,,,,,,,,,1.0,1.04,17283631+0354402,14.203,13.575,13.253,,,,,,,
ZTF22aaqkjgl,C,320.8084341,-9.4420571,-37.9298070536658,A1_cv_outburst,20.072065,0.71,0.27,216,0.998356,0,1.2640568,1.1044586,0.02882401,19.03,0.99725,0.02714425,15,2459134.6462153,1742.2388888997957,1,0.03,9.666320808418994e+16,19.7828,19.1538,18.7568,1.0,0.03,Gaia DR3 6894269202754277888,-0.5191,0.292,0.02,0.043,19.150282,1.041677,,,,,,,,,,,,,,,,,,,,,,
ZTF18abigckz,C,277.0104623,-5.760526,2.548834666981332,A1_cv_outburst,16.90333,0.41,0.56,21,0.97578126,0,1.616987,1.1826771,1.1657903,14.174999,0.5,1.0638374,22,2458307.8149306,1194.8552892999724,2,1.06,1.0108277010580816e+17,16.7951,14.466,12.416,1.0,1.15,Gaia DR3 4257035381801267072,0.1322,0.0368,-0.499,-0.691,13.221099,3.912231,,,,,1.0,0.95,J277.0106-05.7603,dubious,82.254166,1.0,1.21,18280254-0545367,9.102,7.907,7.429,,,,,,,
