oid,stratum,ra,dec,gal_b,channel,mag_at_pass,m1_outburst_amp,m1_ptp_60d,n_alerts_total,drb,nbad,fwhm,elong,distnr,magnr,sgscore1,distpsnr1,ndethist,jdstarthist,hist_span_d,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper
ZTF18abimytv,M2,287.3283554,-8.2509021,-7.704574181602491,A1_cv_outburst,18.82244,2.511,2.548,366,0.9999994,0,3.16,1.0834403,0.16916502,19.292,0.570387,0.12791897,768,2458259.9179282,2958.8815972995944,1.0,0.13,Gaia DR3 4204350392363859584,1.1955,0.1135,-0.995,-2.384,18.083979,1.887604,1.0,0.13,YSO,0.20957536,1.0,0.16,ZTF18abimytv,YSO,16.1,19.7,,1.0,0.12,19091880-0815031,15.429,14.573,14.234,2,0.13,9.809287328339936e+16,21.1767,19.6747,19.3255,,,,,
ZTF19aaocygn,M2,277.2091978,0.1637724,5.101933622464191,A1_cv_outburst,18.182362,2.644,1.287,298,0.9998177,0,2.43,1.3609898,0.19454968,20.25,0.980804,0.20065065,1216,2458387.6077778,2829.383391200099,1.0,0.24,Gaia DR3 4273221155026202368,2.2096,0.2141,5.617,-8.478,18.921249,2.81905,1.0,0.24,YSO,0.434277,1.0,0.25,MGAB-V2145,YSO,17.7,20.6,,1.0,0.19,18285021+0009494,13.006,11.328,10.302,1,0.2,1.0819277209217691e+17,21.1641,18.5334,17.1939,,,,,
ZTF24abuzrht,M2,6.2955274,-18.5413723,-79.50142572562312,A1_cv_outburst,19.837908,2.569,1.32,9,0.9999701,0,2.11,1.1019787,0.106251724,21.499,0.983625,0.1353829,11,2459460.9256597,1784.0134722003713,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.14,8.575006295498077e+16,21.2691,21.3425,20.8758,,,,,
ZTF19adhngbf,M2,279.215931,7.2588081,6.529736275666981,A1_cv_outburst,19.363644,1.243,0.888,80,0.9988842,0,2.53,1.0151134,3.2335377,17.929,0.87275,0.25735727,337,2458581.9988079,2635.774617999792,1.0,0.25,Gaia DR3 4286688699314124928,-0.0522,0.3281,-0.649,-0.249,19.398945,0.888029,,,,,,,,,,,,,,,,,,1,0.26,1.1671279215871106e+17,20.3905,19.5284,19.278,,,,,
ZTF18abvosgm,M2,299.2003398,-18.1923382,-22.348820153146185,A1_cv_outburst,19.281672,2.562,0.676,30,0.998806,0,2.11,1.0778267,2.7927506,21.365,0.820327,0.23566145,49,2458374.7297801,2896.0191088002175,1.0,0.27,Gaia DR3 6870431829321824256,,,,,19.782747,0.429922,,,,,1.0,4.79,MLS_J195648.4-181134,UG,18.0,20.0,,,,,,,,1,0.24,8.616299200433955e+16,19.6516,19.5781,,,,,,
ZTF24abuztdc,M2,27.1181225,-19.4061678,-74.81212621875625,A1_cv_outburst,19.828556,1.354,0.147,7,0.99914014,0,3.59,1.2101911,0.34823176,21.183,0.5,0.2550128,67,2460205.8366204,1070.1018980997615,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.26,8.471027117895298e+16,,,20.9331,,,,,
ZTF18acvmvpg,M2,281.1903398,12.4602206,7.105498698527731,A1_cv_outburst,16.823872,3.768,2.611,63,1.0,0,2.59,1.2219179,0.6282735,19.796999,0.850333,0.4961291,105,2458465.5711111,2811.1604167004116,1.0,0.67,Gaia DR3 4505319886330067072,1.2004,0.5045,-1.998,-4.825,19.879721,1.206827,,,,,1.0,0.81,ASASSN-21kf,UG,16.0,20.3,,,,,,,,1,0.5,1.2295281190432283e+17,20.3256,19.7335,19.4114,,,,,
ZTF19acbplek,M2,267.0175895,8.0610335,17.727683156527302,A1_cv_outburst,18.394321,3.694,0.057,51,0.9999832,0,2.62,1.1472303,0.18724665,21.728,0.507964,0.05599729,202,2458235.9797917,3040.747719900217,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06,1.1767267017668376e+17,,,21.4544,,,,,
ZTF18abzvuub,M2,284.32698,-11.009,-6.28356422907757,A1_cv_outburst,16.658516,3.104,0.508,26,0.99999976,0,2.36,1.0535456,0.7123586,19.763,0.75275,0.8551478,61,2458389.6692245,2879.0411458997987,2.0,0.03,Gaia DR3 4202074064010359168,1.4027,0.7743,-4.331,-6.099,20.278814,0.627405,,,,,1.0,0.07,ASASSN-19yd,UG,16.9,20.3,,,,,,,,1,0.86,9.478284327014954e+16,19.8047,18.8828,18.4032,,,,,
ZTF23aajtssy,M2,312.1949593,-3.3008692,-27.48761396304412,A1_cv_outburst,19.430157,2.307,0.414,313,0.9999998,0,2.48,1.0086313,0.17399168,21.498,0.784375,0.07278442,686,2459739.9416898,1476.9354166998528,1.0,0.07,Gaia DR3 6915145183353582464,,,,,20.75947,0.069736,,,,,,,,,,,,,,,,,,1,0.07,1.0403312195049933e+17,20.5523,20.1421,20.0269,,,,,
ZTF19aarylmv,M2,262.6073866,-1.9150964,17.01728504448779,A1_cv_outburst,17.713104,4.671,1.026,46,0.99999774,0,2.02,1.0333333,2.4718208,20.268,0.5,0.17184399,78,2458598.9391088,2668.773043999914,1.0,2.41,Gaia DR3 4370116789755440256,-1.2133,0.8706,1.42,-2.155,20.534546,1.1775,,,,,1.0,0.15,Gaia17bdh,UG:,18.9,22.0,,,,,,,,2,0.17,1.0570262607433224e+17,,,,,,,,
ZTF19aafohks,M2,268.1301022,2.3266796,14.158666937983725,D_galactic_plane,19.213451,3.122,1.034,56,0.9987142,0,1.87,1.0205047,0.25087503,21.627,0.449813,0.0335302,109,2458262.8561111,3008.81417830009,1.0,0.03,Gaia DR3 4469031776368328320,,,,,19.784906,0.585396,1.0,0.03,CV,0.35216263,1.0,0.04,Gaia DR3 4469031776368328320,UG,19.14,20.9,,,,,,,,1,0.03,1.1079268130071245e+17,21.4833,21.3792,21.1244,,,,,
ZTF21abfxngg,M2,339.1828991,-20.5391305,-58.597903388948566,A1_cv_outburst,19.608301,1.366,0.416,262,0.9880878,0,3.84,1.0382979,0.07054491,20.619,0.969167,0.21705107,722,2458694.9318981,2532.9419676000252,1.0,0.21,Gaia DR3 2400803086861140352,-0.3608,1.2809,-0.074,-4.886,20.611341,0.448648,,,,,,,,,,,,,,,,,,1,0.22,8.335339182924333e+16,20.0808,20.8563,20.1281,,,,,
ZTF18abmirqr,M2,290.3116615,-2.8389403,-7.924776383681518,A1_cv_outburst,18.009369,1.827,2.164,274,0.99999905,0,2.41,1.0055944,0.21926692,19.836,0.928917,0.00877131,986,2458262.9390509,2977.8288889001124,1.0,0.01,Gaia DR3 4214530121986316288,0.4608,0.241,-0.019,-2.379,18.95783,0.736731,,,,,1.0,0.06,MGAB-V436,UG,18.3,21.3,,,,,,,,1,0.01,1.045929031166537e+17,20.2796,20.3123,20.0114,,,,,
ZTF20ackoxkt,M2,10.867828,-13.3066601,-76.0534818761098,A1_cv_outburst,20.124601,1.618,0.329,43,0.99846977,0,4.67,1.2040817,0.10936837,21.414,1.0,0.15916966,328,2459053.9184491,2187.0246643000282,1.0,0.16,Gaia DR3 2375973606045137920,-0.3721,0.5894,0.684,0.756,20.112438,0.616055,1.0,0.16,AGN,0.68106884,,,,,,,,,,,,,,1,0.16,9.203010867765234e+16,19.8982,19.8946,19.6954,,,,,
ZTF20abmkdhu,M2,329.3054126,-25.8598316,-51.19612575702566,A1_cv_outburst,19.611176,1.599,0.332,37,0.9999972,0,2.42,1.0411764,0.25446653,20.448,0.857994,0.31020567,453,2459047.9179861,2194.959398199804,1.0,0.37,Gaia DR3 6811930522160792320,-0.2543,0.7982,0.224,-0.0,20.432322,0.946585,1.0,0.37,AGN,0.8676127,,,,,,,,,,,,,,2,0.31,7.696329305193854e+16,20.5226,20.1259,19.9692,,,,,
ZTF21abjznrj,M2,313.3319502,-25.2517427,-37.06545562955306,A1_cv_outburst,19.303371,1.511,0.389,260,0.99984825,0,2.98,1.095092,0.14040071,20.645,0.520167,0.1811745,784,2458673.942963,2543.9747685003094,1.0,0.19,Gaia DR3 6805587302142196992,-0.599,0.8747,-0.046,-0.672,20.482622,0.5292,1.0,0.19,AGN,0.7626959,,,,,,,,,,,,,,1,0.18,7.769313331910818e+16,20.4514,20.5963,20.0794,,,,,
ZTF19abdrtby,M2,328.8089774,-10.6513555,-45.47282462776556,A1_cv_outburst,19.143017,1.434,0.401,567,0.9999993,0,2.6,1.0846825,0.09333474,20.508,0.771423,0.15971453,1175,2458639.9383218,2577.9400231000036,1.0,0.18,Gaia DR3 2616937523507708416,-0.5258,0.5337,-0.326,-0.898,19.874119,0.63203,1.0,0.18,AGN,0.8320251,,,,,,,,,,,,,,1,0.16,9.521328808940882e+16,19.6075,19.7637,19.8115,,,,,
ZTF20abmrpsq,M2,322.3297179,-25.5233083,-44.99197137307839,A1_cv_outburst,19.430664,1.457,0.355,251,0.91848046,0,1.64,1.1002088,0.20100719,20.412,0.94375,0.2656523,936,2458757.7105208,2469.2283448996022,1.0,0.27,Gaia DR3 6815108729240079104,0.4346,0.5141,-0.296,-0.338,19.851316,0.445305,1.0,0.27,AGN,0.6935636,,,,,,,,,,,,,,1,0.27,7.737322329723216e+16,20.1212,20.2536,19.9907,,,,,
ZTF18aafeggh,M2,115.9169604,11.9315512,16.917890435209642,A1_cv_outburst,17.349863,3.842,0.33,4,0.9999998,0,2.81,1.1451398,0.09226165,21.192,0.821827,0.07205678,41,2458190.6480671,3085.3643518998288,1.0,0.1,Gaia DR3 3151708235156077568,,,,,19.618433,0.487629,1.0,0.1,CV,0.6737228,1.0,0.08,Gaia DR3 3151708235156077568,UG,18.08,21.0,,,,,,,,1,0.07,1.223111591702483e+17,21.0652,20.8873,20.552,,,,,
ZTF18abmipkc,M2,304.8201209,2.2133487,-18.35899000761219,A1_cv_outburst,17.858952,3.706,2.119,680,1.0,0,2.09,1.0305676,0.28857374,19.696,0.844375,0.29427746,1563,2458247.9610301,2966.9820718001574,1.0,0.27,Gaia DR3 4243272348071399168,1.7743,0.4371,12.632,-19.292,19.402374,0.938036,1.0,0.27,CV,0.8609277,1.0,0.59,ZTF18abmipkc,NL,17.6,22.5,,,,,,,,1,0.29,1.1065304820046658e+17,21.8213,21.4625,19.8918,,,,,
ZTF18abifuem,M2,278.7576107,1.7821288,4.4627347605576295,A1_cv_outburst,15.48751,1.602,0.549,686,0.99014443,0,4.9,1.0673352,0.15817949,16.176,1.0,0.11693619,1864,2458318.838125,2897.953101900406,1.0,0.1,Gaia DR3 4273830971664255616,0.1672,0.0748,-2.772,-5.502,15.601647,4.026627,1.0,0.1,SYST,0.23266564,1.0,0.19,IPHAS J183501.83+014656.0,ZAND,14.7,15.9,,1.0,0.23,18350183+0146558,10.745,9.476,8.921,1,0.12,1.1013278757609907e+17,18.8911,17.166,15.2821,1.0,0.12,J278.7576+01.7821,dubious,636.293457
ZTF18adodmcb,M2,302.157483,-5.0229439,-19.44601733023197,A1_cv_outburst,17.953638,3.781,1.61,65,0.99997103,0,2.43,1.1730515,0.23825963,21.388,0.985417,0.21746172,305,2458317.8554745,2942.904641199857,1.0,0.13,Gaia DR3 4220566024211063296,,,,,20.61253,0.650118,,,,,1.0,0.15,MGAB-V3678,UG,17.5,21.8,,,,,,,,1,0.22,1.0197302157474288e+17,21.3885,20.9361,21.1412,,,,,
ZTF18abcgnpe,M2,285.8964011,-3.0543111,-4.093258329599106,A1_cv_outburst,14.809408,1.128,0.341,465,0.99844956,0,2.34,1.0229111,0.09649705,15.7439995,0.9275,0.07998989,1138,2458286.9001736,2929.9351273002103,2.0,0.06,Gaia DR3 4261573650399645184,0.1433,0.0321,-4.143,-6.545,13.015726,3.211491,1.0,0.06,LPV,0.9232433,1.0,0.16,CM Aql,ZAND,12.2,14.8,,1.0,0.14,19033514-0303153,9.211,8.097,7.687,3,0.08,1.043328589641053e+17,15.2036,13.003,11.92,1.0,0.08,J285.8964-03.0542,LPV,638.571228
ZTF18absgnqy,M2,349.0150847,-5.4525065,-58.61303660041413,A1_cv_outburst,16.945564,2.521,3.13,638,1.0,0,3.58,1.0327868,0.13702868,18.695,0.99875,0.08717363,1222,2458301.9581713,2915.975659699645,1.0,0.1,Gaia DR3 2632268220291434624,1.6162,0.2448,6.711,-8.725,18.65196,1.840952,1.0,0.1,CV,0.18418472,1.0,0.13,V0358 Aqr,AM,15.7,20.2,0.1454516,1.0,0.2,23160363-0527089,15.218,14.798,14.636,1,0.09,1.0145349015125744e+17,19.264,19.2679,18.3016,,,,,
