rank_score,oid,STATUS,arm,ra,dec,gal_b,channel,reason,mag_at_pass,band_at_pass,amp,ptp_band,n_outburst_episodes,brightest_ever_mag,hist_span_days,neg_frac,n_neg,n_conf,n_clean,n_alerts,ndethist,drb,sgscore1,distpsnr1,distnr,magnr,gaia_DR3Name,gaia_Gmag,gaia_Plx,gaia_BP-RP,JK,gaiavar_Class,vsx_Name,vsx_Type,vsx_sep,atlasvs_Class,atlasvs_sep,ps1_sep,flag_vsx,flag_gcvs,flag_known_cv,flag_simbad,simbad,tns_nearest,tns_sep_arcsec,probably,outburst_history,fink_link,first_pass_jd,stratum,tier,outburst_amp,ptp_mag_60d
2.504,ZTF18abimytv,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,287.3283554,-8.2509021,-7.704574181602491,A1_cv_outburst,"outburst on a PS1 point source 0.13"" away [galactic plane]",18.82244,r,2.511,2.548,15,16.14,2958.88,0.0476,1.0,21.0,20,21,768.0,0.9999994,0.570387,0.12791897,0.16916502,19.292,Gaia DR3 4204350392363859584,18.083979,1.1955,1.887604,1.2,YSO,ZTF18abimytv,YSO,0.16,,,0.13,YSO,,,,Unknown,AT 2026ilr,1493.31,"a point source has brightened by 2.5 mag above its quiescent level in the galactic plane (|b| = 7.7 deg), now at mag 18.8, varying 2.55 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=18.083979).",MJD 60036.5-60140.3 peak 16.64 (20 det) | MJD 60195.2-60245.2 peak 16.76 (11 det) | MJD 60354.6-60354.6 peak 18.64 (1 det) | MJD 60407.5-60609.1 peak 16.34 (51 det) | MJD 60728.5-60728.6 peak 17.66 (3 det) | MJD 60761.5-60786.4 peak 16.53 (6 det) | MJD 60817.4-60987.1 peak 16.14 (77 det) | MJD 61126.5-61275.2 peak 16.24 (57 det),https://fink-portal.org/ZTF18abimytv,2461218.7995255,M2,M2,2.511,2.548
2.201,ZTF19aaocygn,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,277.2091978,0.1637724,5.101933622464191,A1_cv_outburst,"outburst on a PS1 point source 0.20"" away [galactic plane]",18.182362,r,2.644,1.287,13,16.9,2829.38,0.0,0.0,44.0,44,44,1216.0,0.9998177,0.980804,0.20065065,0.19454968,20.25,Gaia DR3 4273221155026202368,18.921249,2.2096,2.81905,2.7,YSO,MGAB-V2145,YSO,0.25,,,0.2,YSO,,,,OrionV*,AT 2026mkq,12667.4,"a point source has brightened by 2.6 mag above its quiescent level in the galactic plane (|b| = 5.1 deg), now at mag 18.2, varying 1.29 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=18.921249). VERY RED (J-K > 1, BP-RP > 2) -- the classic Mira false positive; colour-check before doing anything.",MJD 59683.4-59683.4 peak 19.12 (1 det) | MJD 59755.3-59783.4 peak 19.66 (3 det) | MJD 59844.2-59879.1 peak 19.23 (7 det) | MJD 60118.4-60238.1 peak 17.89 (25 det) | MJD 60391.4-60609.1 peak 17.55 (47 det) | MJD 60694.6-60710.6 peak 17.74 (9 det) | MJD 60756.5-60976.1 peak 17.90 (41 det) | MJD 61077.6-61276.2 peak 17.63 (103 det),https://fink-portal.org/ZTF19aaocygn,2461216.991169,M2,M2,2.644,1.287
2.188,ZTF24abuzrht,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,6.2955274,-18.5413723,-79.50142572562312,A1_cv_outburst,"outburst on a PS1 point source 0.14"" away",19.837908,g,2.569,1.32,1,18.86,1784.01,0.0,0.0,8.0,8,9,11.0,0.9999701,0.983625,0.1353829,0.106251724,21.499,,,,,,,,,,,,0.14,,,,,Unknown,AT 2025adgt,1591.19,"a point source has brightened by 2.6 mag above its quiescent level at |b| = 79.5 deg, now at mag 19.8, varying 1.32 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 61243.4-61275.4 peak 18.86 (9 det),https://fink-portal.org/ZTF24abuzrht,2461244.9391319,M2,M2,2.569,1.32
1.941,ZTF19adhngbf,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,279.215931,7.2588081,6.529736275666981,A1_cv_outburst,"outburst on a PS1 point source 0.26"" away [galactic plane]",19.363644,r,1.243,0.888,6,19.25,2635.77,0.0,0.0,29.0,28,29,337.0,0.9988842,0.87275,0.25735727,3.2335377,17.929,Gaia DR3 4286688699314124928,19.398945,-0.0522,0.888029,,,,,,,,0.26,,,,,Fail 500,AT 2026qjj,1888.13,"a point source has brightened by 1.2 mag above its quiescent level in the galactic plane (|b| = 6.5 deg), now at mag 19.4, varying 0.89 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. a Gaia DR3 star sits at this position (G=19.398945).",MJD 59700.5-59846.2 peak 19.25 (19 det) | MJD 60103.3-60110.3 peak 19.76 (2 det) | MJD 60191.2-60191.2 peak 19.77 (1 det) | MJD 60832.5-60861.4 peak 19.32 (2 det) | MJD 61059.6-61059.6 peak 19.28 (1 det) | MJD 61111.5-61275.2 peak 19.29 (55 det),https://fink-portal.org/ZTF19adhngbf,2461217.7734259,M2,M2,1.243,0.888
1.363,ZTF18abvosgm,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,299.2003398,-18.1923382,-22.348820153146185,A1_cv_outburst,"outburst on a PS1 point source 0.24"" away",19.281672,g,2.562,0.676,13,18.78,2896.02,0.0,0.0,5.0,5,5,49.0,0.998806,0.820327,0.23566145,2.7927506,21.365,Gaia DR3 6870431829321824256,19.782747,,0.429922,,,MLS_J195648.4-181134,UG,4.79,,,0.24,,,,,Unknown,AT 2026uqd,921.87,"a point source has brightened by 2.6 mag above its quiescent level at |b| = 22.3 deg, now at mag 19.3, varying 0.68 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=19.782747).",MJD 60249.1-60249.1 peak 19.10 (1 det) | MJD 60535.3-60535.3 peak 19.02 (2 det) | MJD 60625.1-60625.1 peak 19.15 (1 det) | MJD 60823.4-60823.4 peak 19.47 (1 det) | MJD 60899.2-60899.3 peak 18.88 (2 det) | MJD 60979.1-60981.1 peak 18.78 (3 det) | MJD 61199.4-61200.4 peak 19.12 (3 det) | MJD 61270.2-61274.3 peak 18.80 (5 det),https://fink-portal.org/ZTF18abvosgm,2461270.7488889,M2,M2,2.562,0.676
1.115,ZTF24abuztdc,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,27.1181225,-19.4061678,-74.81212621875625,A1_cv_outburst,"outburst on a PS1 point source 0.26"" away",19.828556,r,1.354,0.147,3,19.83,1070.1,0.0,0.0,2.0,2,2,67.0,0.99914014,0.5,0.2550128,0.34823176,21.183,,,,,,,,,,,,0.26,,,,,Unknown,AT 2025adug,2764.51,"a point source has brightened by 1.4 mag above its quiescent level at |b| = 74.8 deg, now at mag 19.8, varying 0.15 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 60920.4-60922.4 peak 19.91 (2 det) | MJD 61021.1-61031.1 peak 19.96 (3 det) | MJD 61274.4-61275.4 peak 19.83 (2 det),https://fink-portal.org/ZTF24abuztdc,2461275.9385185,M2,M2,1.354,0.147
1.007,ZTF18acvmvpg,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,281.1903398,12.4602206,7.105498698527731,A1_cv_outburst,"outburst on a PS1 point source 0.50"" away [galactic plane]",16.823872,r,3.768,2.611,8,16.05,2811.16,0.0,0.0,3.0,3,3,105.0,1.0,0.850333,0.4961291,0.6282735,19.796999,Gaia DR3 4505319886330067072,19.879721,1.2004,1.206827,,,ASASSN-21kf,UG,0.81,,,0.5,UG,,VSX:UG,,Unknown,SN 2025taz,405.15,"a point source has brightened by 3.8 mag above its quiescent level in the galactic plane (|b| = 7.1 deg), now at mag 16.8, varying 2.61 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=19.879721).",MJD 59370.4-59386.4 peak 16.05 (15 det) | MJD 59694.4-59701.4 peak 16.41 (13 det) | MJD 60042.5-60051.5 peak 16.86 (11 det) | MJD 60255.1-60255.1 peak 16.71 (4 det) | MJD 60420.4-60433.5 peak 16.32 (12 det) | MJD 60555.2-60555.2 peak 18.20 (1 det) | MJD 60699.6-60699.6 peak 17.24 (4 det) | MJD 61275.2-61276.2 peak 16.64 (3 det),https://fink-portal.org/ZTF18acvmvpg,2461276.7315278,M2,M2,3.768,2.611
1.006,ZTF19acbplek,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,267.0175895,8.0610335,17.727683156527302,A1_cv_outburst,"outburst on a PS1 point source 0.06"" away",18.394321,r,3.694,0.057,13,17.71,3040.75,0.0,0.0,4.0,4,4,202.0,0.9999832,0.507964,0.05599729,0.18724665,21.728,,,,,,,,,,,,0.06,,,,,Unknown,AT 2026hvy,2406.7,"a point source has brightened by 3.7 mag above its quiescent level at |b| = 17.7 deg, now at mag 18.4, varying 0.06 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. no Gaia DR3 counterpart within 3 arcsec, so the quiescent source is fainter than G~21 -- consistent with a CV or nova progenitor.",MJD 59753.3-59753.3 peak 18.51 (4 det) | MJD 60098.3-60098.4 peak 18.21 (2 det) | MJD 60223.1-60227.2 peak 18.36 (6 det) | MJD 60714.5-60714.5 peak 19.46 (1 det) | MJD 60816.3-60816.5 peak 18.63 (4 det) | MJD 60905.2-60905.2 peak 19.29 (1 det) | MJD 61072.6-61078.6 peak 17.84 (7 det) | MJD 61276.2-61276.2 peak 18.23 (4 det),https://fink-portal.org/ZTF19acbplek,2461276.7275116,M2,M2,3.694,0.057
0.996,ZTF18abzvuub,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,284.32698,-11.009,-6.28356422907757,A1_cv_outburst,"outburst on a PS1 point source 0.86"" away [galactic plane]",16.658516,g,3.104,0.508,3,16.47,2879.04,0.0,0.0,10.0,10,10,61.0,0.99999976,0.75275,0.8551478,0.7123586,19.763,Gaia DR3 4202074064010359168,20.278814,1.4027,0.627405,,,ASASSN-19yd,UG,0.07,,,0.86,UG,,VSX:UG,,Unknown,AT 2026nxf,3968.67,"a point source has brightened by 3.1 mag above its quiescent level in the galactic plane (|b| = 6.3 deg), now at mag 16.7, varying 0.51 mag peak-to-peak within one band; dwarf-nova outburst or classical nova. ALREADY CATALOGUED AS A CV -- the outburst is real but the object is not new; do NOT file an AT report. a Gaia DR3 star sits at this position (G=20.278814).",MJD 60519.2-60531.3 peak 16.49 (7 det) | MJD 60840.4-60849.4 peak 16.47 (9 det) | MJD 61267.2-61275.2 peak 16.48 (10 det),https://fink-portal.org/ZTF18abzvuub,2461268.7103704,M2,M2,3.104,0.508
0.63,ZTF23aajtssy,MATTHEW-GATED -- NOT REPORTED TO TNS,E2_outburst,312.1949593,-3.3008692,-27.48761396304412,A1_cv_outburst,"outburst on a PS1 point source 0.07"" away",19.430157,g,2.307,0.414,6,19.05,1476.94,0.0,0.0,67.0,67,68,686.0,0.9999998,0.784375,0.07278442,0.17399168,21.498,Gaia DR3 6915145183353582464,20.75947,,0.069736,,,,,,,,0.07,,,,,Unknown,AT 2025ueh,237.88,"a point source has brightened by 2.3 mag above its quiescent level at |b| = 27.5 deg, now at mag 19.4, varying 0.41 mag peak-to-peak within one band; dwarf-nova outburst or a flare star. a Gaia DR3 star sits at this position (G=20.75947).",MJD 60079.4-60260.1 peak 19.83 (32 det) | MJD 60445.5-60651.1 peak 19.23 (81 det) | MJD 60750.5-60750.5 peak 19.31 (1 det) | MJD 60789.5-60948.2 peak 19.18 (76 det) | MJD 61020.1-61020.1 peak 19.28 (1 det) | MJD 61127.5-61276.4 peak 19.05 (122 det),https://fink-portal.org/ZTF23aajtssy,2461216.8771065,M2,M2,2.307,0.414
