oid,vet_class,rule,evidence,stratum,channel,gal_b,mag_at_pass,outburst_amp,ptp_mag_60d,ra,dec
ZTF19acbplek,plausible_transient,R3,"compact clean positive PSF in the difference, no dipole; NO Gaia DR3 source within 3 arcsec and no VSX/ATLAS-VS/Gaia-var match at all; PS1 point source at 0.11 arcsec with magnr=21.88, so quiescence is below Gaia's limit; episodic detections at 17.7-19.6 in clusters separated by months-to-years, returning to non-detection between them. Textbook uncatalogued dwarf nova.",A,A1_cv_outburst,17.727657468922207,18.619282,4.17,0.06,267.0176289,8.0610549
ZTF20abmrpsq,known_variable,R2b,"251 alerts, continuously detected 18.8-20.4 for six years with no quiescent floor and repeated comparable-amplitude excursions; Gaia DR3 vclassre says AGN at 0.19 arcsec; blue (BP-RP=0.45), |b|=45 deg.",A,A1_cv_outburst,-44.99200496968864,20.054302,1.62,0.36,322.3297457,-25.5233472
ZTF18abobdzu,known_variable,R2c,"Mira trap, all three conditions: 2MASS J-K=1.69 (>1.0), Gaia BP-RP=5.18 (>2.0), slow undulation on multi-hundred-day timescales. 700 alerts continuously detected for seven years, no quiescent floor (R2b also fires). ATLAS-VS counterpart at 0.39 arcsec. G=12.70. M1's single best candidate is a red LPV.",A,A1_cv_outburst,6.353984285327051,19.111622,1.54,1.01,273.2064671,-4.7857839
ZTF19aaxsbas,known_variable,R2c,"Mira trap: J-K=1.26, BP-RP=2.64, hundred-day timescales; 226 alerts, persistent, no floor (R2b also fires); ATLAS-VS at 0.44 arcsec.",B,A1_cv_outburst,-2.0117319722526523,19.135899,1.04,0.37,282.2682762,-5.5681491
ZTF18abbsyyw,artifact,R1a,"difference stamp shows a large positive lobe with an adjacent deep negative lobe just below-left of the position -- a classic astrometric/PSF subtraction dipole on a bright star; a second dipole bottom-right. Independently also a red variable (VSX type VAR at 4.24 arcsec, BP-RP=4.32, J-K=1.67).",B,A1_cv_outburst,-2.2912638475952867,16.439053,0.99,0.92,287.4587117,3.9256232
ZTF18abutckp,known_variable,R2b,"535 alerts, dense, repeated ~1.5 mag cycles on a several-hundred-day period over seven years, never returning to a quiescent floor; ATLAS-VS at 0.32 arcsec.",B,A1_cv_outburst,-32.5467388377663,19.864714,0.92,1.16,322.9792056,4.2661291
ZTF18abbdqqd,artifact,R1a,"the position sits on the edge of a saturated-star mask; the difference stamp is a field of strong bipolar residuals with the saturation block in the middle. The light curve also shows a single-epoch vertical stripe of alerts at MJD 60500 spanning 1.3 mag, a second artifact signature.",B,A1_cv_outburst,4.779555442480137,17.713867,0.59,0.94,283.6703641,12.1070262
ZTF20abvccny,artifact,R1a,"positive source at the position with a deep adjacent negative lobe immediately below -- bipolar residual off the bright neighbour 2 arcsec away. Underlying star is a nearby M dwarf (Gaia Plx=5.96 mas, BP-RP=3.03); only 4 alerts.",B,A1_cv_outburst,20.186604627397323,19.225986,0.52,1.21,262.151087,3.911015
ZTF22aaqkjgl,plausible_transient,R3,"compact clean positive PSF, no dipole; no VSX/ATLAS-VS/Gaia-var match; single monotonic ~2 mag rise over ~400 d from 20.5 to 18.5 then a plateau -- a genuine excursion from a definable baseline, not repeated. CAVEAT recorded at vetting time: a 400-day rise is not nova-shaped; AGN turn-on or a slow symbiotic are live alternatives, and R2b does not fire only because the rise is not repeated.",C,A1_cv_outburst,-37.9298070536658,20.072065,0.71,0.27,320.8084341,-9.4420571
ZTF18abigckz,artifact,R1a,"positive core with a deep negative lobe directly below at the position; a saturated blob at the top of the stamp and a second strong dipole at right. Also red (BP-RP=3.91, J-K=1.67) with an ATLAS-VS match at 0.95 arcsec.",C,A1_cv_outburst,2.548834666981332,16.90333,0.41,0.56,277.0104623,-5.760526
ZTF18absvftl,artifact,R1a,"textbook dipole: positive lobe at the position, deep negative lobe immediately below-left. 259 alerts, persistent, no floor.",C,A1_cv_outburst,-20.42528083761368,18.108738,0.37,0.37,304.6492495,-2.3760539
ZTF18aazlttw,artifact,R1a,"positive at the position with an adjacent negative lobe above-left. Also a red LPV by colour (BP-RP=3.74, J-K=1.50), so R2c would have fired next.",C,A1_cv_outburst,4.099142569629641,18.307842,0.25,0.28,282.8477965,8.9963984
ZTF19aarybaz,artifact,R1a,positive core with a negative lobe immediately left; more dipoles bottom-right. ATLAS-VS class IRR at 0.67 arcsec; persistent light curve with no floor.,C,A1_cv_outburst,-2.9985147898592235,17.673265,0.14,1.11,283.190682,-5.9405968
ZTF18abcjbfn,artifact,R1a,"large positive lobe with an adjacent deep negative blob directly below at the position, plus a second dipole to the left -- bad subtraction on a bright star. ATLAS-VS at 0.49 arcsec, 292 alerts, persistent.",C,A1_cv_outburst,1.0889056948863678,17.491186,0.13,1.08,278.8772033,-5.3523687
ZTF20aawakdv,known_variable,R2b,"209 alerts, continuously detected for six years, wandering by ~2 mag with repeated comparable-amplitude excursions and no quiescent floor; Gaia Plx=8.77 mas -- a nearby star ~115 pc away, i.e. a long-period/irregular variable, not a transient. ATLAS-VS at 0.79 arcsec.",C,A1_cv_outburst,3.071144738016736,17.815733,-0.13,0.32,276.6342076,-5.3495497
ZTF21aamxwne,known_variable,R2b,"step up in 2024 then 900 days of continuous detection at 19.7-20.2 with repeated ~0.5 mag excursions and no return to the pre-rise level; blue (BP-RP=0.73), Plx~0, sits ~2 arcsec off a resolved galaxy visible in the science and template stamps. No clean PSF is visible in the difference stamp either, so R3a would also have failed.",C,A1_cv_outburst,18.4102933786556,20.539501,-0.2,0.37,269.1228687,14.0657749
ZTF20aarepnp,artifact,R1c,"the difference source is not a clean positive PSF: a negative core ringed by a positive halo -- a PSF-mismatch residual. 1233 alerts, continuous for seven years, no floor.",C,A1_cv_outburst,24.440637746677048,18.54188,-0.27,0.31,260.6188823,10.4166928
ZTF19aadtsew,artifact,R1a,"strong positive lobe with a deep negative lobe below-left at the position, and a large negative blob at the top of the stamp. Light curve also brightens monotonically from 18 to 16 over six years -- a slow variable, not an event.",C,A1_cv_outburst,31.22325706037304,17.055069,-0.32,0.26,249.4476035,3.6857508
ZTF23aagepgc,known_variable,R2b,"230 alerts, continuously detected across four seasons at 19.6-20.4 with repeated ~0.6 mag excursions and no quiescent floor; M1 amplitude is -0.35, i.e. the variation is fainter than the star it sits on.",C,A1_cv_outburst,16.712913470358743,20.397348,-0.35,0.4,269.6772505,11.1878119
ZTF19abbuwnp,known_variable,R2b,"283 alerts, continuous over five years, r 18.8-19.3 and g 19.3-19.8, no floor; strong dipoles elsewhere in the stamp but not at the position.",C,A1_cv_outburst,10.399923594735402,20.074972,-0.4,0.47,275.46189,8.472068
ZTF18abeaikl,known_variable,R2b,"381 alerts, repeated smooth ~1.4 mag cycles over six years with no floor; Gaia DR3 vclassre says AGN at 0.48 arcsec; ATLAS-VS at 0.48 arcsec.",C,A1_cv_outburst,35.40541561086459,19.865051,-0.45,0.27,245.7119925,5.598701
ZTF20acpbjsv,known_variable,R2b,"130 alerts, continuously detected at 19.3-20.2 over five years, no floor; M1 amplitude -0.50.",C,A1_cv_outburst,15.511833295608456,20.048716,-0.5,0.33,267.1905696,3.4586877
