oid,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period
ZTF19acbplek,1,0.11,1.1767267017668376e+17,,,21.4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZTF20abmrpsq,1,0.18,7.737322329723216e+16,20.1212,20.2536,19.9907,1.0,0.19,Gaia DR3 6815108729240079104,0.4346,0.5141,-0.296,-0.338,19.851316,0.445305,1.0,0.19,AGN,0.6935636,,,,,,,,,,,,,,,,,,
ZTF18abobdzu,2,0.49,1.022527320634475e+17,17.608,15.0729,11.829,1.0,0.47,Gaia DR3 4173514245169043712,0.1609,0.0946,2.926,-2.436,12.704073,5.17548,,,,,1.0,0.39,J273.2063-04.7857,dubious,175.408676,1.0,0.54,18124951-0447087,7.71,6.528,6.019,,,,,,,
ZTF19aaxsbas,1,0.43,1.0131282268384875e+17,17.1699,15.4129,14.6076,2.0,0.43,Gaia DR3 4254848113948089472,0.3011,0.0503,-0.221,-1.679,15.207059,2.644175,,,,,1.0,0.44,J282.2683-05.5680,dubious,32.68182,1.0,0.52,18490440-0534049,11.88,10.979,10.622,,,,,,,
ZTF18abbsyyw,2,0.15,1.1271287458680125e+17,16.8508,14.6943,12.4097,2.0,0.19,Gaia DR3 4269117571480533504,0.1585,0.0481,-0.762,-0.679,13.085473,4.315565,,,,,,,,,,1.0,0.22,19095008+0355324,8.758,7.584,7.085,1.0,4.24,Gaia DR3 4269117575849198336,VAR,16.57,16.74,0.0833246
ZTF18abutckp,1,0.32,1.131132297926799e+17,19.5533,18.1986,17.2108,1.0,0.28,Gaia DR3 2698173741829957888,1.0184,0.1273,-9.877,-7.692,17.49299,1.630951,,,,,1.0,0.32,J322.9792+04.2661,dubious,1498.041748,1.0,0.34,21315502+0415583,16.282,15.336,15.397,,,,,,,
ZTF18abbdqqd,1,0.06,1.2252283670384896e+17,17.7427,17.1885,16.8221,2.0,0.06,Gaia DR3 4504366399300867968,0.4436,0.0875,-1.935,-10.007,17.109604,1.235651,,,,,,,,,,1.0,0.03,18544088+1206253,15.337,14.92,15.186,,,,,,,
ZTF20abvccny,1,0.77,1.1269262151283384e+17,19.4413,18.1136,16.57,1.0,0.74,Gaia DR3 4389025847131598208,5.9606,0.0882,-15.819,-19.451,17.293968,3.033842,,,,,,,,,,1.0,1.04,17283631+0354402,14.203,13.575,13.253,,,,,,,
ZTF22aaqkjgl,1,0.03,9.666320808418994e+16,19.7828,19.1538,18.7568,1.0,0.03,Gaia DR3 6894269202754277888,-0.5191,0.292,0.02,0.043,19.150282,1.041677,,,,,,,,,,,,,,,,,,,,,,
ZTF18abigckz,2,1.06,1.0108277010580816e+17,16.7951,14.466,12.416,1.0,1.15,Gaia DR3 4257035381801267072,0.1322,0.0368,-0.499,-0.691,13.221099,3.912231,,,,,1.0,0.95,J277.0106-05.7603,dubious,82.254166,1.0,1.21,18280254-0545367,9.102,7.907,7.429,,,,,,,
ZTF18absvftl,1,0.72,1.0514304649331942e+17,16.4458,15.5318,15.0543,2.0,0.68,Gaia DR3 4223025532938707072,1.7651,0.0349,-7.959,-17.103,15.542568,1.581345,,,,,,,,,,1.0,1.04,20183584-0222328,13.53,12.908,12.736,,,,,,,
ZTF18aazlttw,4,0.36,1.1879282847909621e+17,16.6593,14.6959,12.505,3.0,0.37,Gaia DR3 4311127200684027264,0.1082,0.0306,-2.745,-4.276,13.485525,3.737579,,,,,,,,,,1.0,0.35,18512349+0859471,9.574,8.485,8.073,,,,,,,
ZTF19aarybaz,3,0.66,1.0087283190583186e+17,14.8758,13.444,12.711,2.0,0.66,Gaia DR3 4254017295479596928,0.9941,0.0173,4.777,-1.966,13.520431,2.110955,,,,,1.0,0.67,J283.1905-05.9404,IRR,239.563416,1.0,0.82,18524573-0556254,10.596,9.881,9.62,,,,,,,
ZTF18abcjbfn,1,0.49,1.0157278877107771e+17,16.0784,14.5986,13.8307,1.0,0.5,Gaia DR3 4256373995501754624,0.4429,0.0218,-1.845,-0.525,14.42474,2.299767,,,,,1.0,0.49,J278.8771-05.3522,dubious,62.778526,1.0,0.48,18353050-0521081,11.603,10.718,10.475,,,,,,,
ZTF20aawakdv,2,0.77,1.015827663416713e+17,15.2693,13.331,12.845,2.0,0.75,Gaia DR3 4257118777212875008,8.7671,0.1967,8.852,-22.094,13.804147,2.221366,,,,,1.0,0.79,J276.6341-05.3493,dubious,474.678833,1.0,1.07,18263218-0520573,11.222,10.453,10.239,,,,,,,
ZTF21aamxwne,1,0.26,1.248726912279994e+17,19.2889,18.7158,18.8038,1.0,0.25,Gaia DR3 4499817719691364480,-0.0448,0.1968,0.043,-0.303,18.928429,0.725798,,,,,,,,,,,,,,,,,,,,,,
ZTF20aarepnp,1,0.53,1.2050260618743064e+17,16.9653,16.1002,15.6313,1.0,0.53,Gaia DR3 4492078124199257472,0.8982,0.0486,-1.052,-12.097,15.995874,1.484469,,,,,,,,,,1.0,0.69,17222850+1025006,14.164,13.615,13.456,,,,,,,
ZTF19aadtsew,1,0.73,1.124224944768031e+17,14.3041,13.9069,13.8237,1.0,0.72,Gaia DR3 4434162861034223744,0.9632,0.0189,-2.469,11.254,13.900866,0.86444,,,,,1.0,0.73,J249.4476+03.6855,dubious,1483.645874,1.0,0.74,16374743+0341079,12.708,12.445,12.36,,,,,,,
ZTF23aagepgc,1,0.42,1.2142269677136582e+17,19.6086,19.1021,18.594,1.0,0.42,Gaia DR3 4495085868322546816,0.0311,0.1933,-0.083,0.035,18.924896,1.315212,,,,,,,,,,,,,,,,,,,,,,
ZTF19abbuwnp,1,0.05,1.1816275461897698e+17,18.2756,17.5444,17.1939,1.0,0.05,Gaia DR3 4478600615608632832,0.3865,0.0803,-0.019,-4.443,17.500463,1.273418,,,,,,,,,,1.0,0.06,18215085+0828194,15.799,15.302,15.155,,,,,,,
