oid,gaia_n,gaia_sep,gaia_DR3Name,gaia_Plx,gaia_e_Plx,gaia_pmRA,gaia_pmDE,gaia_Gmag,gaia_BP-RP,gaiavar_n,gaiavar_sep,gaiavar_Class,gaiavar_ClassSc,vsx_n,vsx_sep,vsx_Name,vsx_Type,vsx_max,vsx_min,vsx_Period,2mass_n,2mass_sep,2mass_2MASS,2mass_Jmag,2mass_Hmag,2mass_Kmag,ps1_n,ps1_sep,ps1_objID,ps1_gmag,ps1_rmag,ps1_imag,atlasvs_n,atlasvs_sep,atlasvs_ATOID,atlasvs_Class,atlasvs_fp-lngfitper
ZTF18abimytv,1.0,0.13,Gaia DR3 4204350392363859584,1.1955,0.1135,-0.995,-2.384,18.083979,1.887604,1.0,0.13,YSO,0.20957536,1.0,0.16,ZTF18abimytv,YSO,16.1,19.7,,1.0,0.12,19091880-0815031,15.429,14.573,14.234,2,0.13,9.809287328339936e+16,21.1767,19.6747,19.3255,,,,,
ZTF19aaocygn,1.0,0.24,Gaia DR3 4273221155026202368,2.2096,0.2141,5.617,-8.478,18.921249,2.81905,1.0,0.24,YSO,0.434277,1.0,0.25,MGAB-V2145,YSO,17.7,20.6,,1.0,0.19,18285021+0009494,13.006,11.328,10.302,1,0.2,1.0819277209217691e+17,21.1641,18.5334,17.1939,,,,,
ZTF24abuzrht,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.14,8.575006295498077e+16,21.2691,21.3425,20.8758,,,,,
ZTF19adhngbf,1.0,0.25,Gaia DR3 4286688699314124928,-0.0522,0.3281,-0.649,-0.249,19.398945,0.888029,,,,,,,,,,,,,,,,,,1,0.26,1.1671279215871106e+17,20.3905,19.5284,19.278,,,,,
ZTF18abvosgm,1.0,0.27,Gaia DR3 6870431829321824256,,,,,19.782747,0.429922,,,,,1.0,4.79,MLS_J195648.4-181134,UG,18.0,20.0,,,,,,,,1,0.24,8.616299200433955e+16,19.6516,19.5781,,,,,,
ZTF24abuztdc,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.26,8.471027117895298e+16,,,20.9331,,,,,
ZTF18acvmvpg,1.0,0.67,Gaia DR3 4505319886330067072,1.2004,0.5045,-1.998,-4.825,19.879721,1.206827,,,,,1.0,0.81,ASASSN-21kf,UG,16.0,20.3,,,,,,,,1,0.5,1.2295281190432283e+17,20.3256,19.7335,19.4114,,,,,
ZTF19acbplek,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.06,1.1767267017668376e+17,,,21.4544,,,,,
ZTF18abzvuub,2.0,0.03,Gaia DR3 4202074064010359168,1.4027,0.7743,-4.331,-6.099,20.278814,0.627405,,,,,1.0,0.07,ASASSN-19yd,UG,16.9,20.3,,,,,,,,1,0.86,9.478284327014954e+16,19.8047,18.8828,18.4032,,,,,
ZTF23aajtssy,1.0,0.07,Gaia DR3 6915145183353582464,,,,,20.75947,0.069736,,,,,,,,,,,,,,,,,,1,0.07,1.0403312195049933e+17,20.5523,20.1421,20.0269,,,,,
ZTF19aarylmv,1.0,2.41,Gaia DR3 4370116789755440256,-1.2133,0.8706,1.42,-2.155,20.534546,1.1775,,,,,1.0,0.15,Gaia17bdh,UG:,18.9,22.0,,,,,,,,2,0.17,1.0570262607433224e+17,,,,,,,,
ZTF19aafohks,1.0,0.03,Gaia DR3 4469031776368328320,,,,,19.784906,0.585396,1.0,0.03,CV,0.35216263,1.0,0.04,Gaia DR3 4469031776368328320,UG,19.14,20.9,,,,,,,,1,0.03,1.1079268130071245e+17,21.4833,21.3792,21.1244,,,,,
ZTF21abfxngg,1.0,0.21,Gaia DR3 2400803086861140352,-0.3608,1.2809,-0.074,-4.886,20.611341,0.448648,,,,,,,,,,,,,,,,,,1,0.22,8.335339182924333e+16,20.0808,20.8563,20.1281,,,,,
ZTF18abmirqr,1.0,0.01,Gaia DR3 4214530121986316288,0.4608,0.241,-0.019,-2.379,18.95783,0.736731,,,,,1.0,0.06,MGAB-V436,UG,18.3,21.3,,,,,,,,1,0.01,1.045929031166537e+17,20.2796,20.3123,20.0114,,,,,
ZTF20ackoxkt,1.0,0.16,Gaia DR3 2375973606045137920,-0.3721,0.5894,0.684,0.756,20.112438,0.616055,1.0,0.16,AGN,0.68106884,,,,,,,,,,,,,,1,0.16,9.203010867765234e+16,19.8982,19.8946,19.6954,,,,,
ZTF20abmkdhu,1.0,0.37,Gaia DR3 6811930522160792320,-0.2543,0.7982,0.224,-0.0,20.432322,0.946585,1.0,0.37,AGN,0.8676127,,,,,,,,,,,,,,2,0.31,7.696329305193854e+16,20.5226,20.1259,19.9692,,,,,
ZTF21abjznrj,1.0,0.19,Gaia DR3 6805587302142196992,-0.599,0.8747,-0.046,-0.672,20.482622,0.5292,1.0,0.19,AGN,0.7626959,,,,,,,,,,,,,,1,0.18,7.769313331910818e+16,20.4514,20.5963,20.0794,,,,,
ZTF19abdrtby,1.0,0.18,Gaia DR3 2616937523507708416,-0.5258,0.5337,-0.326,-0.898,19.874119,0.63203,1.0,0.18,AGN,0.8320251,,,,,,,,,,,,,,1,0.16,9.521328808940882e+16,19.6075,19.7637,19.8115,,,,,
ZTF20abmrpsq,1.0,0.27,Gaia DR3 6815108729240079104,0.4346,0.5141,-0.296,-0.338,19.851316,0.445305,1.0,0.27,AGN,0.6935636,,,,,,,,,,,,,,1,0.27,7.737322329723216e+16,20.1212,20.2536,19.9907,,,,,
ZTF18aafeggh,1.0,0.1,Gaia DR3 3151708235156077568,,,,,19.618433,0.487629,1.0,0.1,CV,0.6737228,1.0,0.08,Gaia DR3 3151708235156077568,UG,18.08,21.0,,,,,,,,1,0.07,1.223111591702483e+17,21.0652,20.8873,20.552,,,,,
ZTF18abmipkc,1.0,0.27,Gaia DR3 4243272348071399168,1.7743,0.4371,12.632,-19.292,19.402374,0.938036,1.0,0.27,CV,0.8609277,1.0,0.59,ZTF18abmipkc,NL,17.6,22.5,,,,,,,,1,0.29,1.1065304820046658e+17,21.8213,21.4625,19.8918,,,,,
ZTF18abifuem,1.0,0.1,Gaia DR3 4273830971664255616,0.1672,0.0748,-2.772,-5.502,15.601647,4.026627,1.0,0.1,SYST,0.23266564,1.0,0.19,IPHAS J183501.83+014656.0,ZAND,14.7,15.9,,1.0,0.23,18350183+0146558,10.745,9.476,8.921,1,0.12,1.1013278757609907e+17,18.8911,17.166,15.2821,1.0,0.12,J278.7576+01.7821,dubious,636.293457
ZTF18adodmcb,1.0,0.13,Gaia DR3 4220566024211063296,,,,,20.61253,0.650118,,,,,1.0,0.15,MGAB-V3678,UG,17.5,21.8,,,,,,,,1,0.22,1.0197302157474288e+17,21.3885,20.9361,21.1412,,,,,
ZTF18abcgnpe,2.0,0.06,Gaia DR3 4261573650399645184,0.1433,0.0321,-4.143,-6.545,13.015726,3.211491,1.0,0.06,LPV,0.9232433,1.0,0.16,CM Aql,ZAND,12.2,14.8,,1.0,0.14,19033514-0303153,9.211,8.097,7.687,3,0.08,1.043328589641053e+17,15.2036,13.003,11.92,1.0,0.08,J285.8964-03.0542,LPV,638.571228
ZTF18absgnqy,1.0,0.1,Gaia DR3 2632268220291434624,1.6162,0.2448,6.711,-8.725,18.65196,1.840952,1.0,0.1,CV,0.18418472,1.0,0.13,V0358 Aqr,AM,15.7,20.2,0.1454516,1.0,0.2,23160363-0527089,15.218,14.798,14.636,1,0.09,1.0145349015125744e+17,19.264,19.2679,18.3016,,,,,
